2021 output area,mnemonic,Cannot understand spoken Welsh,% Cannot understand spoken Welsh,Can understand spoken Welsh,% Can understand spoken Welsh,2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk,2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh,2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00008820,W00008820,515,84.4,95,15.6,W00008820,W00008820,510,82.3,91,14.7,601,97.0,W00008820,W00008820,528,86.6,82,13.4,W00008820,W00008820,419,67.3,47,7.5,466,74.8
W00008821,W00008821,398,82.4,85,17.6,W00008821,W00008821,457,92.7,20,4.1,477,96.8,W00008821,W00008821,415,85.9,68,14.1,W00008821,W00008821,334,67.7,52,10.5,386,78.2
W00008822,W00008822,285,86.6,44,13.4,W00008822,W00008822,270,78.3,69,20.0,339,98.3,W00008822,W00008822,293,89.1,36,10.9,W00008822,W00008822,232,67.4,37,10.8,269,78.2
W00008823,W00008823,290,87.6,41,12.4,W00008823,W00008823,263,76.5,64,18.6,327,95.1,W00008823,W00008823,295,89.1,36,10.9,W00008823,W00008823,219,63.5,29,8.4,248,71.9
W00008824,W00008824,383,91.2,37,8.8,W00008824,W00008824,317,72.0,105,23.9,422,95.9,W00008824,W00008824,391,93.3,28,6.7,W00008824,W00008824,290,66.2,33,7.5,323,73.7
W00008825,W00008825,255,90.7,26,9.3,W00008825,W00008825,209,72.3,65,22.5,274,94.8,W00008825,W00008825,261,92.9,20,7.1,W00008825,W00008825,182,63.0,32,11.1,214,74.1
W00008826,W00008826,314,86.5,49,13.5,W00008826,W00008826,302,81.0,54,14.5,356,95.5,W00008826,W00008826,324,89.5,38,10.5,W00008826,W00008826,245,65.0,29,7.7,274,72.7
W00008827,W00008827,294,91.0,29,9.0,W00008827,W00008827,259,77.8,65,19.5,324,97.3,W00008827,W00008827,298,92.3,25,7.7,W00008827,W00008827,192,58.0,46,13.9,238,71.9
W00008828,W00008828,280,88.3,37,11.7,W00008828,W00008828,258,79.4,55,16.9,313,96.3,W00008828,W00008828,292,92.1,25,7.9,W00008828,W00008828,233,71.7,24,7.4,257,79.1
W00008829,W00008829,409,89.9,46,10.1,W00008829,W00008829,343,71.9,67,14.0,410,85.9,W00008829,W00008829,414,91.0,41,9.0,W00008829,W00008829,281,58.9,39,8.2,320,67.1
W00008830,W00008830,280,90.0,31,10.0,W00008830,W00008830,260,80.2,51,15.7,311,95.9,W00008830,W00008830,280,90.0,31,10.0,W00008830,W00008830,205,63.7,22,6.8,227,70.5
W00008831,W00008831,314,88.5,41,11.5,W00008831,W00008831,294,80.3,49,13.4,343,93.7,W00008831,W00008831,319,89.9,36,10.1,W00008831,W00008831,228,62.5,23,6.3,251,68.8
W00008832,W00008832,210,86.4,33,13.6,W00008832,W00008832,189,75.9,56,22.5,245,98.4,W00008832,W00008832,215,88.5,28,11.5,W00008832,W00008832,166,66.4,29,11.6,195,78.0
W00008833,W00008833,411,85.6,69,14.4,W00008833,W00008833,355,71.4,120,24.1,475,95.5,W00008833,W00008833,431,89.8,49,10.2,W00008833,W00008833,310,61.8,56,11.2,366,73.0
W00008834,W00008834,264,94.0,17,6.0,W00008834,W00008834,195,68.4,67,23.5,262,91.9,W00008834,W00008834,270,96.1,11,3.9,W00008834,W00008834,148,52.3,26,9.2,174,61.5
W00008835,W00008835,317,91.6,29,8.4,W00008835,W00008835,235,65.6,85,23.7,320,89.3,W00008835,W00008835,296,85.5,50,14.5,W00008835,W00008835,193,54.2,30,8.4,223,62.6
W00008836,W00008836,239,93.7,16,6.3,W00008836,W00008836,160,60.8,84,31.9,244,92.7,W00008836,W00008836,230,90.2,25,9.8,W00008836,W00008836,123,46.9,23,8.8,146,55.7
W00008837,W00008837,324,87.3,47,12.7,W00008837,W00008837,287,74.2,87,22.5,374,96.7,W00008837,W00008837,328,88.9,41,11.1,W00008837,W00008837,273,70.5,39,10.1,312,80.6
W00008838,W00008838,218,87.9,30,12.1,W00008838,W00008838,171,67.3,62,24.4,233,91.7,W00008838,W00008838,225,90.7,23,9.3,W00008838,W00008838,166,65.4,20,7.9,186,73.3
W00008839,W00008839,185,92.0,16,8.0,W00008839,W00008839,105,51.7,87,42.9,192,94.6,W00008839,W00008839,186,91.6,17,8.4,W00008839,W00008839,114,55.6,9,4.4,123,60.0
W00008840,W00008840,326,90.3,35,9.7,W00008840,W00008840,260,69.5,88,23.5,348,93.0,W00008840,W00008840,327,90.6,34,9.4,W00008840,W00008840,223,59.8,23,6.2,246,66.0
W00008841,W00008841,263,92.0,23,8.0,W00008841,W00008841,230,76.2,65,21.5,295,97.7,W00008841,W00008841,269,94.1,17,5.9,W00008841,W00008841,191,63.7,29,9.7,220,73.4
W00008842,W00008842,358,86.7,55,13.3,W00008842,W00008842,287,68.0,99,23.5,386,91.5,W00008842,W00008842,371,90.0,41,10.0,W00008842,W00008842,273,64.7,40,9.5,313,74.2
W00008843,W00008843,343,93.0,26,7.0,W00008843,W00008843,280,71.6,91,23.3,371,94.9,W00008843,W00008843,347,94.0,22,6.0,W00008843,W00008843,243,62.1,34,8.7,277,70.8
W00008844,W00008844,268,87.9,37,12.1,W00008844,W00008844,243,77.1,61,19.4,304,96.5,W00008844,W00008844,272,89.2,33,10.8,W00008844,W00008844,209,66.6,40,12.7,249,79.3
W00008845,W00008845,231,89.2,28,10.8,W00008845,W00008845,198,72.3,61,22.3,259,94.6,W00008845,W00008845,233,90.0,26,10.0,W00008845,W00008845,173,63.1,31,11.3,204,74.4
