2021 output area,mnemonic,Cannot understand spoken Welsh,% Cannot understand spoken Welsh,Can understand spoken Welsh,% Can understand spoken Welsh,2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk,2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh,2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00009084,W00009084,244,83.8,47,16.2,W00009084,W00009084,227,76.7,38,12.8,265,89.5,W00009084,W00009084,248,85.2,43,14.8,W00009084,W00009084,131,44.1,17,5.7,148,49.8
W00009085,W00009085,354,82.9,73,17.1,W00009085,W00009085,309,70.9,43,9.9,352,80.8,W00009085,W00009085,362,85.0,64,15.0,W00009085,W00009085,162,36.7,21,4.8,183,41.5
W00009086,W00009086,256,77.8,73,22.2,W00009086,W00009086,272,81.7,17,5.1,289,86.8,W00009086,W00009086,258,78.4,71,21.6,W00009086,W00009086,137,41.5,6,1.8,143,43.3
W00009087,W00009087,288,78.0,81,22.0,W00009087,W00009087,293,77.1,18,4.7,311,81.8,W00009087,W00009087,299,81.0,70,19.0,W00009087,W00009087,134,35.2,27,7.1,161,42.3
W00009088,W00009088,406,86.0,66,14.0,W00009088,W00009088,340,71.1,38,7.9,378,79.0,W00009088,W00009088,408,86.3,65,13.7,W00009088,W00009088,139,29.1,24,5.0,163,34.1
W00009089,W00009089,286,85.4,49,14.6,W00009089,W00009089,270,77.6,41,11.8,311,89.4,W00009089,W00009089,289,87.0,43,13.0,W00009089,W00009089,125,35.8,12,3.4,137,39.2
W00009090,W00009090,318,85.9,52,14.1,W00009090,W00009090,337,90.8,14,3.8,351,94.6,W00009090,W00009090,319,86.2,51,13.8,W00009090,W00009090,173,46.4,33,8.8,206,55.2
W00009091,W00009091,344,93.2,25,6.8,W00009091,W00009091,246,63.2,56,14.4,302,77.6,W00009091,W00009091,347,94.0,22,6.0,W00009091,W00009091,135,34.7,24,6.2,159,40.9
W00009092,W00009092,241,85.2,42,14.8,W00009092,W00009092,205,68.6,27,9.0,232,77.6,W00009092,W00009092,250,88.3,33,11.7,W00009092,W00009092,77,25.7,21,7.0,98,32.7
W00009093,W00009093,313,90.2,34,9.8,W00009093,W00009093,268,74.0,8,2.2,276,76.2,W00009093,W00009093,312,89.9,35,10.1,W00009093,W00009093,116,32.0,29,8.0,145,40.0
W00009094,W00009094,200,85.8,33,14.2,W00009094,W00009094,190,76.9,29,11.7,219,88.6,W00009094,W00009094,210,90.5,22,9.5,W00009094,W00009094,98,39.0,15,6.0,113,45.0
W00009095,W00009095,343,89.1,42,10.9,W00009095,W00009095,265,66.1,54,13.5,319,79.6,W00009095,W00009095,349,90.4,37,9.6,W00009095,W00009095,131,32.9,29,7.3,160,40.2
W00009096,W00009096,370,85.5,63,14.5,W00009096,W00009096,346,75.5,44,9.6,390,85.1,W00009096,W00009096,371,85.9,61,14.1,W00009096,W00009096,147,32.2,27,5.9,174,38.1
W00009097,W00009097,272,84.2,51,15.8,W00009097,W00009097,221,66.0,46,13.7,267,79.7,W00009097,W00009097,275,84.6,50,15.4,W00009097,W00009097,116,34.2,41,12.1,157,46.3
W00009098,W00009098,318,85.7,53,14.3,W00009098,W00009098,308,79.8,32,8.3,340,88.1,W00009098,W00009098,324,87.3,47,12.7,W00009098,W00009098,102,26.5,34,8.8,136,35.3
W00009099,W00009099,220,78.6,60,21.4,W00009099,W00009099,246,82.8,28,9.4,274,92.2,W00009099,W00009099,220,78.3,61,21.7,W00009099,W00009099,134,45.3,37,12.5,171,57.8
W00009100,W00009100,335,86.6,52,13.4,W00009100,W00009100,284,72.1,54,13.7,338,85.8,W00009100,W00009100,344,88.9,43,11.1,W00009100,W00009100,180,44.9,31,7.7,211,52.6
W00009101,W00009101,404,92.0,35,8.0,W00009101,W00009101,320,70.8,52,11.5,372,82.3,W00009101,W00009101,389,88.6,50,11.4,W00009101,W00009101,97,21.3,50,11.0,147,32.3
W00009102,W00009102,217,82.8,45,17.2,W00009102,W00009102,220,82.4,23,8.6,243,91.0,W00009102,W00009102,231,88.5,30,11.5,W00009102,W00009102,122,45.4,25,9.3,147,54.7
W00009104,W00009104,471,92.7,37,7.3,W00009104,W00009104,316,60.8,34,6.5,350,67.3,W00009104,W00009104,467,91.9,41,8.1,W00009104,W00009104,110,21.0,29,5.5,139,26.5
W00009105,W00009105,373,86.7,57,13.3,W00009105,W00009105,339,75.8,27,6.0,366,81.8,W00009105,W00009105,374,87.0,56,13.0,W00009105,W00009105,136,30.4,42,9.4,178,39.8
W00009106,W00009106,308,84.4,57,15.6,W00009106,W00009106,296,77.5,34,8.9,330,86.4,W00009106,W00009106,323,88.7,41,11.3,W00009106,W00009106,104,27.2,39,10.2,143,37.4
W00009107,W00009107,296,85.3,51,14.7,W00009107,W00009107,236,65.7,89,24.8,325,90.5,W00009107,W00009107,294,84.7,53,15.3,W00009107,W00009107,93,25.5,26,7.1,119,32.6
W00009108,W00009108,227,81.4,52,18.6,W00009108,W00009108,230,78.8,29,9.9,259,88.7,W00009108,W00009108,227,81.4,52,18.6,W00009108,W00009108,120,41.5,22,7.6,142,49.1
W00009109,W00009109,175,92.1,15,7.9,W00009109,W00009109,140,68.3,42,20.5,182,88.8,W00009109,W00009109,175,92.1,15,7.9,W00009109,W00009109,80,39.4,14,6.9,94,46.3
W00009110,W00009110,299,79.9,75,20.1,W00009110,W00009110,314,80.9,37,9.5,351,90.4,W00009110,W00009110,300,80.2,74,19.8,W00009110,W00009110,161,41.8,27,7.0,188,48.8
W00009111,W00009111,273,84.5,50,15.5,W00009111,W00009111,277,84.7,34,10.4,311,95.1,W00009111,W00009111,269,83.3,54,16.7,W00009111,W00009111,140,42.8,40,12.2,180,55.0
W00009112,W00009112,336,88.0,46,12.0,W00009112,W00009112,281,70.1,32,8.0,313,78.1,W00009112,W00009112,343,89.1,42,10.9,W00009112,W00009112,111,27.7,25,6.2,136,33.9
W00009113,W00009113,269,82.5,57,17.5,W00009113,W00009113,266,79.2,31,9.2,297,88.4,W00009113,W00009113,267,81.9,59,18.1,W00009113,W00009113,123,36.5,27,8.0,150,44.5
W00009114,W00009114,348,85.3,60,14.7,W00009114,W00009114,369,83.5,34,7.7,403,91.2,W00009114,W00009114,356,87.0,53,13.0,W00009114,W00009114,212,47.7,45,10.1,257,57.8
W00009115,W00009115,277,90.8,28,9.2,W00009115,W00009115,239,76.6,38,12.2,277,88.8,W00009115,W00009115,278,91.1,27,8.9,W00009115,W00009115,148,47.0,28,8.9,176,55.9
W00009116,W00009116,256,80.8,61,19.2,W00009116,W00009116,283,83.2,29,8.5,312,91.7,W00009116,W00009116,247,77.9,70,22.1,W00009116,W00009116,146,43.3,25,7.4,171,50.7
W00009117,W00009117,412,91.8,37,8.2,W00009117,W00009117,358,77.5,48,10.4,406,87.9,W00009117,W00009117,410,91.3,39,8.7,W00009117,W00009117,154,33.4,37,8.0,191,41.4
W00009118,W00009118,230,92.7,18,7.3,W00009118,W00009118,144,55.8,58,22.5,202,78.3,W00009118,W00009118,231,93.1,17,6.9,W00009118,W00009118,98,38.9,11,4.4,109,43.3
W00009119,W00009119,307,87.0,46,13.0,W00009119,W00009119,270,74.4,40,11.0,310,85.4,W00009119,W00009119,308,87.5,44,12.5,W00009119,W00009119,117,32.4,32,8.9,149,41.3
W00009120,W00009120,327,87.4,47,12.6,W00009120,W00009120,285,72.5,69,17.6,354,90.1,W00009120,W00009120,327,87.4,47,12.6,W00009120,W00009120,182,46.0,42,10.6,224,56.6
W00009121,W00009121,284,96.3,11,3.7,W00009121,W00009121,212,70.2,59,19.5,271,89.7,W00009121,W00009121,287,97.3,8,2.7,W00009121,W00009121,97,32.3,10,3.3,107,35.6
W00009123,W00009123,431,86.9,65,13.1,W00009123,W00009123,386,75.7,47,9.2,433,84.9,W00009123,W00009123,419,84.5,77,15.5,W00009123,W00009123,168,32.9,43,8.4,211,41.3
W00009125,W00009125,292,85.1,51,14.9,W00009125,W00009125,267,75.2,46,13.0,313,88.2,W00009125,W00009125,288,84.0,55,16.0,W00009125,W00009125,117,33.0,17,4.8,134,37.8
W00009126,W00009126,309,87.8,43,12.2,W00009126,W00009126,303,83.0,15,4.1,318,87.1,W00009126,W00009126,310,88.1,42,11.9,W00009126,W00009126,174,48.2,39,10.8,213,59.0
W00009127,W00009127,290,86.8,44,13.2,W00009127,W00009127,242,70.1,31,9.0,273,79.1,W00009127,W00009127,286,85.6,48,14.4,W00009127,W00009127,108,31.3,24,7.0,132,38.3
W00009128,W00009128,286,85.1,50,14.9,W00009128,W00009128,294,83.5,19,5.4,313,88.9,W00009128,W00009128,294,87.2,43,12.8,W00009128,W00009128,128,36.7,28,8.0,156,44.7
W00009129,W00009129,400,91.1,39,8.9,W00009129,W00009129,336,74.5,36,8.0,372,82.5,W00009129,W00009129,408,91.9,36,8.1,W00009129,W00009129,113,25.0,38,8.4,151,33.4
W00009130,W00009130,222,84.4,41,15.6,W00009130,W00009130,187,67.8,27,9.8,214,77.6,W00009130,W00009130,223,84.5,41,15.5,W00009130,W00009130,86,31.4,23,8.4,109,39.8
W00009131,W00009131,278,84.8,50,15.2,W00009131,W00009131,260,76.7,41,12.1,301,88.8,W00009131,W00009131,274,83.5,54,16.5,W00009131,W00009131,90,26.5,29,8.6,119,35.1
W00009132,W00009132,278,93.0,21,7.0,W00009132,W00009132,219,70.6,34,11.0,253,81.6,W00009132,W00009132,276,92.3,23,7.7,W00009132,W00009132,81,25.9,17,5.4,98,31.3
W00009133,W00009133,265,89.5,31,10.5,W00009133,W00009133,262,83.2,31,9.8,293,93.0,W00009133,W00009133,280,94.3,17,5.7,W00009133,W00009133,143,45.4,17,5.4,160,50.8
W00009134,W00009134,182,74.0,64,26.0,W00009134,W00009134,196,74.8,38,14.5,234,89.3,W00009134,W00009134,191,78.6,52,21.4,W00009134,W00009134,138,52.7,10,3.8,148,56.5
W00009135,W00009135,352,93.1,26,6.9,W00009135,W00009135,337,82.8,31,7.6,368,90.4,W00009135,W00009135,350,92.8,27,7.2,W00009135,W00009135,89,22.0,36,8.9,125,30.9
W00009136,W00009136,254,81.2,59,18.8,W00009136,W00009136,219,68.7,18,5.6,237,74.3,W00009136,W00009136,264,85.2,46,14.8,W00009136,W00009136,119,37.4,30,9.4,149,46.8
W00009137,W00009137,180,79.3,47,20.7,W00009137,W00009137,154,66.1,20,8.6,174,74.7,W00009137,W00009137,181,79.7,46,20.3,W00009137,W00009137,107,46.5,13,5.7,120,52.2
W00009138,W00009138,240,79.7,61,20.3,W00009138,W00009138,288,92.9,16,5.2,304,98.1,W00009138,W00009138,257,84.8,46,15.2,W00009138,W00009138,175,56.3,27,8.7,202,65.0
W00009139,W00009139,243,86.2,39,13.8,W00009139,W00009139,269,90.9,22,7.4,291,98.3,W00009139,W00009139,256,90.8,26,9.2,W00009139,W00009139,164,55.2,36,12.1,200,67.3
W00009140,W00009140,306,79.1,81,20.9,W00009140,W00009140,368,91.3,29,7.2,397,98.5,W00009140,W00009140,322,83.2,65,16.8,W00009140,W00009140,228,56.6,42,10.4,270,67.0
W00009141,W00009141,400,87.9,55,12.1,W00009141,W00009141,383,78.0,53,10.8,436,88.8,W00009141,W00009141,409,89.3,49,10.7,W00009141,W00009141,246,50.2,49,10.0,295,60.2
W00009142,W00009142,173,83.2,35,16.8,W00009142,W00009142,165,77.5,38,17.8,203,95.3,W00009142,W00009142,182,88.3,24,11.7,W00009142,W00009142,126,58.6,15,7.0,141,65.6
W00009143,W00009143,225,79.2,59,20.8,W00009143,W00009143,271,92.8,20,6.8,291,99.6,W00009143,W00009143,229,80.6,55,19.4,W00009143,W00009143,149,51.2,65,22.3,214,73.5
W00009144,W00009144,230,86.8,35,13.2,W00009144,W00009144,220,81.2,26,9.6,246,90.8,W00009144,W00009144,231,87.2,34,12.8,W00009144,W00009144,175,64.1,12,4.4,187,68.5
W00009145,W00009145,246,85.1,43,14.9,W00009145,W00009145,248,80.3,37,12.0,285,92.3,W00009145,W00009145,247,85.8,41,14.2,W00009145,W00009145,153,50.2,30,9.8,183,60.0
W00009146,W00009146,235,74.1,82,25.9,W00009146,W00009146,282,87.6,20,6.2,302,93.8,W00009146,W00009146,250,78.9,67,21.1,W00009146,W00009146,168,51.2,36,11.0,204,62.2
W00009147,W00009147,243,87.1,36,12.9,W00009147,W00009147,248,85.2,33,11.3,281,96.5,W00009147,W00009147,242,86.7,37,13.3,W00009147,W00009147,173,59.7,23,7.9,196,67.6
W00009148,W00009148,105,91.3,10,8.7,W00009148,W00009148,88,75.9,19,16.4,107,92.3,W00009148,W00009148,103,88.8,13,11.2,W00009148,W00009148,41,35.0,19,16.2,60,51.2
W00009149,W00009149,295,81.9,65,18.1,W00009149,W00009149,333,89.5,18,4.8,351,94.3,W00009149,W00009149,300,82.9,62,17.1,W00009149,W00009149,206,55.4,40,10.8,246,66.2
W00009150,W00009150,291,85.6,49,14.4,W00009150,W00009150,318,90.9,19,5.4,337,96.3,W00009150,W00009150,296,87.1,44,12.9,W00009150,W00009150,189,54.2,39,11.2,228,65.4
W00009151,W00009151,268,84.5,49,15.5,W00009151,W00009151,294,89.4,32,9.7,326,99.1,W00009151,W00009151,283,89.3,34,10.7,W00009151,W00009151,188,57.5,39,11.9,227,69.4
W00009152,W00009152,281,83.1,57,16.9,W00009152,W00009152,278,79.7,39,11.2,317,90.9,W00009152,W00009152,286,84.6,52,15.4,W00009152,W00009152,188,55.0,36,10.5,224,65.5
W00009153,W00009153,264,88.9,33,11.1,W00009153,W00009153,268,86.7,30,9.7,298,96.4,W00009153,W00009153,268,90.2,29,9.8,W00009153,W00009153,165,52.9,46,14.7,211,67.6
W00009154,W00009154,329,82.7,69,17.3,W00009154,W00009154,350,85.8,18,4.4,368,90.2,W00009154,W00009154,329,82.7,69,17.3,W00009154,W00009154,159,38.7,36,8.8,195,47.5
W00009155,W00009155,157,86.3,25,13.7,W00009155,W00009155,135,72.2,24,12.8,159,85.0,W00009155,W00009155,160,87.9,22,12.1,W00009155,W00009155,66,34.6,20,10.5,86,45.1
W00009156,W00009156,215,84.6,39,15.4,W00009156,W00009156,234,90.0,24,9.2,258,99.2,W00009156,W00009156,220,86.6,34,13.4,W00009156,W00009156,138,53.3,28,10.8,166,64.1
W00009157,W00009157,399,83.6,78,16.4,W00009157,W00009157,424,85.8,42,8.5,466,94.3,W00009157,W00009157,407,85.1,71,14.9,W00009157,W00009157,260,52.7,43,8.7,303,61.4
W00009159,W00009159,381,89.2,46,10.8,W00009159,W00009159,349,78.3,63,14.1,412,92.4,W00009159,W00009159,388,90.9,39,9.1,W00009159,W00009159,212,47.5,43,9.6,255,57.1
W00009160,W00009160,273,83.0,56,17.0,W00009160,W00009160,307,90.8,25,7.4,332,98.2,W00009160,W00009160,278,83.7,54,16.3,W00009160,W00009160,182,53.7,23,6.8,205,60.5
W00009161,W00009161,332,84.5,61,15.5,W00009161,W00009161,368,89.5,35,8.5,403,98.0,W00009161,W00009161,341,86.8,52,13.2,W00009161,W00009161,241,58.6,44,10.7,285,69.3
W00009162,W00009162,209,78.6,57,21.4,W00009162,W00009162,248,89.5,21,7.6,269,97.1,W00009162,W00009162,212,79.4,55,20.6,W00009162,W00009162,172,61.4,21,7.5,193,68.9
W00009163,W00009163,225,71.7,89,28.3,W00009163,W00009163,309,93.4,12,3.6,321,97.0,W00009163,W00009163,238,75.3,78,24.7,W00009163,W00009163,184,55.4,28,8.4,212,63.8
W00009164,W00009164,243,75.9,77,24.1,W00009164,W00009164,296,89.4,20,6.0,316,95.4,W00009164,W00009164,260,81.2,60,18.8,W00009164,W00009164,196,59.2,33,10.0,229,69.2
W00009165,W00009165,217,82.2,47,17.8,W00009165,W00009165,246,91.8,18,6.7,264,98.5,W00009165,W00009165,223,85.1,39,14.9,W00009165,W00009165,160,59.3,24,8.9,184,68.2
W00009166,W00009166,245,81.4,56,18.6,W00009166,W00009166,279,88.0,28,8.8,307,96.8,W00009166,W00009166,255,84.7,46,15.3,W00009166,W00009166,158,50.0,33,10.4,191,60.4
W00009168,W00009168,201,85.9,33,14.1,W00009168,W00009168,203,86.4,26,11.1,229,97.5,W00009168,W00009168,202,86.7,31,13.3,W00009168,W00009168,135,57.9,11,4.7,146,62.6
W00009169,W00009169,259,76.0,82,24.0,W00009169,W00009169,319,89.6,23,6.5,342,96.1,W00009169,W00009169,280,81.9,62,18.1,W00009169,W00009169,188,52.8,38,10.7,226,63.5
W00009170,W00009170,237,79.0,63,21.0,W00009170,W00009170,284,91.0,16,5.1,300,96.1,W00009170,W00009170,245,81.7,55,18.3,W00009170,W00009170,180,58.1,42,13.5,222,71.6
W00009171,W00009171,456,89.8,52,10.2,W00009171,W00009171,444,84.9,46,8.8,490,93.7,W00009171,W00009171,462,90.9,46,9.1,W00009171,W00009171,248,47.1,51,9.7,299,56.8
W00009172,W00009172,248,82.7,52,17.3,W00009172,W00009172,282,92.5,20,6.6,302,99.1,W00009172,W00009172,258,86.0,42,14.0,W00009172,W00009172,184,59.9,19,6.2,203,66.1
W00009173,W00009173,202,82.4,43,17.6,W00009173,W00009173,225,90.0,14,5.6,239,95.6,W00009173,W00009173,209,85.3,36,14.7,W00009173,W00009173,133,53.4,21,8.4,154,61.8
W00009174,W00009174,254,77.7,73,22.3,W00009174,W00009174,312,93.1,19,5.7,331,98.8,W00009174,W00009174,275,83.3,55,16.7,W00009174,W00009174,196,58.5,37,11.0,233,69.5
W00009175,W00009175,263,80.7,63,19.3,W00009175,W00009175,313,94.6,10,3.0,323,97.6,W00009175,W00009175,268,82.2,58,17.8,W00009175,W00009175,184,55.6,32,9.7,216,65.3
W00009176,W00009176,299,84.7,54,15.3,W00009176,W00009176,337,92.8,12,3.3,349,96.1,W00009176,W00009176,307,87.0,46,13.0,W00009176,W00009176,153,42.3,40,11.0,193,53.3
W00009177,W00009177,263,82.2,57,17.8,W00009177,W00009177,295,89.4,28,8.5,323,97.9,W00009177,W00009177,276,86.8,42,13.2,W00009177,W00009177,157,47.1,29,8.7,186,55.8
W00009178,W00009178,204,84.0,39,16.0,W00009178,W00009178,227,93.0,5,2.0,232,95.0,W00009178,W00009178,204,84.0,39,16.0,W00009178,W00009178,105,42.0,30,12.0,135,54.0
W00009179,W00009179,276,86.5,43,13.5,W00009179,W00009179,295,92.5,16,5.0,311,97.5,W00009179,W00009179,280,87.8,39,12.2,W00009179,W00009179,141,44.1,26,8.1,167,52.2
W00009180,W00009180,276,82.4,59,17.6,W00009180,W00009180,318,93.8,19,5.6,337,99.4,W00009180,W00009180,285,85.1,50,14.9,W00009180,W00009180,120,35.5,47,13.9,167,49.4
W00009181,W00009181,438,84.7,79,15.3,W00009181,W00009181,484,90.8,21,3.9,505,94.7,W00009181,W00009181,457,88.6,59,11.4,W00009181,W00009181,221,41.2,65,12.1,286,53.3
W00009182,W00009182,257,84.3,48,15.7,W00009182,W00009182,291,93.9,8,2.6,299,96.5,W00009182,W00009182,264,86.6,41,13.4,W00009182,W00009182,109,35.2,38,12.3,147,47.5
W00009183,W00009183,336,81.8,75,18.2,W00009183,W00009183,394,93.6,16,3.8,410,97.4,W00009183,W00009183,348,84.7,63,15.3,W00009183,W00009183,189,45.0,60,14.3,249,59.3
W00009184,W00009184,251,83.9,48,16.1,W00009184,W00009184,287,93.8,18,5.9,305,99.7,W00009184,W00009184,258,86.3,41,13.7,W00009184,W00009184,135,44.1,25,8.2,160,52.3
W00009186,W00009186,177,65.8,92,34.2,W00009186,W00009186,264,96.0,6,2.2,270,98.2,W00009186,W00009186,184,68.4,85,31.6,W00009186,W00009186,164,60.1,25,9.2,189,69.3
W00009187,W00009187,198,75.3,65,24.7,W00009187,W00009187,237,89.8,16,6.1,253,95.9,W00009187,W00009187,212,80.6,51,19.4,W00009187,W00009187,141,52.8,30,11.2,171,64.0
W00009188,W00009188,253,80.8,60,19.2,W00009188,W00009188,295,91.9,13,4.0,308,95.9,W00009188,W00009188,263,83.8,51,16.2,W00009188,W00009188,177,55.5,26,8.2,203,63.7
W00009189,W00009189,255,91.1,25,8.9,W00009189,W00009189,251,85.4,32,10.9,283,96.3,W00009189,W00009189,256,91.4,24,8.6,W00009189,W00009189,170,58.0,19,6.5,189,64.5
W00009190,W00009190,272,89.8,31,10.2,W00009190,W00009190,278,89.1,25,8.0,303,97.1,W00009190,W00009190,271,89.4,32,10.6,W00009190,W00009190,165,53.2,31,10.0,196,63.2
W00009191,W00009191,381,83.9,73,16.1,W00009191,W00009191,395,86.6,38,8.3,433,94.9,W00009191,W00009191,396,87.2,58,12.8,W00009191,W00009191,256,56.0,32,7.0,288,63.0
W00009192,W00009192,183,82.1,40,17.9,W00009192,W00009192,198,87.6,21,9.3,219,96.9,W00009192,W00009192,189,84.8,34,15.2,W00009192,W00009192,95,42.0,22,9.7,117,51.7
W00009193,W00009193,169,81.6,38,18.4,W00009193,W00009193,189,90.4,11,5.3,200,95.7,W00009193,W00009193,165,79.7,42,20.3,W00009193,W00009193,86,41.1,21,10.0,107,51.1
W00009194,W00009194,294,84.0,56,16.0,W00009194,W00009194,313,86.9,15,4.2,328,91.1,W00009194,W00009194,298,84.9,53,15.1,W00009194,W00009194,190,52.9,34,9.5,224,62.4
W00009195,W00009195,275,82.8,57,17.2,W00009195,W00009195,295,87.5,18,5.3,313,92.8,W00009195,W00009195,289,87.3,42,12.7,W00009195,W00009195,124,36.9,30,8.9,154,45.8
W00009196,W00009196,203,73.6,73,26.4,W00009196,W00009196,244,86.8,31,11.0,275,97.8,W00009196,W00009196,220,80.3,54,19.7,W00009196,W00009196,182,64.5,21,7.4,203,71.9
W00009197,W00009197,215,74.4,74,25.6,W00009197,W00009197,258,85.7,28,9.3,286,95.0,W00009197,W00009197,223,76.9,67,23.1,W00009197,W00009197,159,53.9,32,10.8,191,64.7
W00009198,W00009198,257,61.2,163,38.8,W00009198,W00009198,379,88.8,33,7.7,412,96.5,W00009198,W00009198,270,64.3,150,35.7,W00009198,W00009198,230,54.2,39,9.2,269,63.4
W00009199,W00009199,215,73.4,78,26.6,W00009199,W00009199,279,91.8,18,5.9,297,97.7,W00009199,W00009199,222,75.8,71,24.2,W00009199,W00009199,166,54.4,32,10.5,198,64.9
W00009200,W00009200,216,73.5,78,26.5,W00009200,W00009200,272,90.4,13,4.3,285,94.7,W00009200,W00009200,228,77.3,67,22.7,W00009200,W00009200,154,51.3,28,9.3,182,60.6
W00009201,W00009201,226,79.9,57,20.1,W00009201,W00009201,252,86.0,25,8.5,277,94.5,W00009201,W00009201,229,80.4,56,19.6,W00009201,W00009201,157,53.6,38,13.0,195,66.6
W00009202,W00009202,200,79.1,53,20.9,W00009202,W00009202,233,87.6,27,10.2,260,97.8,W00009202,W00009202,203,80.9,48,19.1,W00009202,W00009202,142,53.4,38,14.3,180,67.7
W00009203,W00009203,158,73.1,58,26.9,W00009203,W00009203,199,90.5,13,5.9,212,96.4,W00009203,W00009203,165,76.0,52,24.0,W00009203,W00009203,120,53.8,19,8.5,139,62.3
W00009204,W00009204,188,77.7,54,22.3,W00009204,W00009204,224,91.8,17,7.0,241,98.8,W00009204,W00009204,200,82.6,42,17.4,W00009204,W00009204,111,45.1,31,12.6,142,57.7
W00009205,W00009205,247,78.2,69,21.8,W00009205,W00009205,290,89.8,26,8.0,316,97.8,W00009205,W00009205,262,82.9,54,17.1,W00009205,W00009205,188,58.2,27,8.4,215,66.6
W00009206,W00009206,247,86.1,40,13.9,W00009206,W00009206,259,89.6,23,8.0,282,97.6,W00009206,W00009206,254,88.5,33,11.5,W00009206,W00009206,146,50.7,44,15.3,190,66.0
W00009207,W00009207,183,84.7,33,15.3,W00009207,W00009207,188,86.6,23,10.6,211,97.2,W00009207,W00009207,193,88.5,25,11.5,W00009207,W00009207,112,51.6,25,11.5,137,63.1
W00009208,W00009208,264,83.5,52,16.5,W00009208,W00009208,304,93.3,16,4.9,320,98.2,W00009208,W00009208,274,86.7,42,13.3,W00009208,W00009208,168,51.9,61,18.8,229,70.7
W00009209,W00009209,211,85.8,35,14.2,W00009209,W00009209,202,79.8,41,16.2,243,96.0,W00009209,W00009209,218,88.6,28,11.4,W00009209,W00009209,142,56.3,21,8.3,163,64.6
W00009210,W00009210,193,86.2,31,13.8,W00009210,W00009210,196,86.3,21,9.3,217,95.6,W00009210,W00009210,201,89.7,23,10.3,W00009210,W00009210,106,46.5,30,13.2,136,59.7
W00009211,W00009211,220,86.3,35,13.7,W00009211,W00009211,238,91.2,13,5.0,251,96.2,W00009211,W00009211,226,88.3,30,11.7,W00009211,W00009211,158,60.5,33,12.6,191,73.1
W00009212,W00009212,195,81.9,43,18.1,W00009212,W00009212,212,87.2,22,9.1,234,96.3,W00009212,W00009212,198,83.2,40,16.8,W00009212,W00009212,127,52.3,15,6.2,142,58.5
W00009213,W00009213,168,58.9,117,41.1,W00009213,W00009213,254,87.3,23,7.9,277,95.2,W00009213,W00009213,175,61.4,110,38.6,W00009213,W00009213,163,56.4,24,8.3,187,64.7
W00009214,W00009214,216,86.1,35,13.9,W00009214,W00009214,195,75.0,59,22.7,254,97.7,W00009214,W00009214,223,89.2,27,10.8,W00009214,W00009214,152,58.5,36,13.8,188,72.3
W00009215,W00009215,245,87.5,35,12.5,W00009215,W00009215,211,71.0,70,23.6,281,94.6,W00009215,W00009215,258,91.8,23,8.2,W00009215,W00009215,186,63.3,25,8.5,211,71.8
W00009216,W00009216,275,81.8,61,18.2,W00009216,W00009216,287,84.4,31,9.1,318,93.5,W00009216,W00009216,286,85.1,50,14.9,W00009216,W00009216,214,62.9,19,5.6,233,68.5
W00009217,W00009217,226,86.9,34,13.1,W00009217,W00009217,201,74.4,46,17.0,247,91.4,W00009217,W00009217,236,90.4,25,9.6,W00009217,W00009217,138,50.9,40,14.8,178,65.7
W00009218,W00009218,245,83.1,50,16.9,W00009218,W00009218,275,89.6,28,9.1,303,98.7,W00009218,W00009218,255,85.6,43,14.4,W00009218,W00009218,187,60.7,18,5.8,205,66.5
W00009219,W00009219,185,72.5,70,27.5,W00009219,W00009219,222,83.5,34,12.8,256,96.3,W00009219,W00009219,196,76.9,59,23.1,W00009219,W00009219,152,56.3,27,10.0,179,66.3
W00009220,W00009220,267,83.7,52,16.3,W00009220,W00009220,260,79.5,51,15.6,311,95.1,W00009220,W00009220,282,88.4,37,11.6,W00009220,W00009220,206,63.2,26,8.0,232,71.2
W00009221,W00009221,291,85.6,49,14.4,W00009221,W00009221,278,78.8,58,16.4,336,95.2,W00009221,W00009221,296,87.1,44,12.9,W00009221,W00009221,202,58.2,31,8.9,233,67.1
W00009222,W00009222,245,92.5,20,7.5,W00009222,W00009222,160,56.1,98,34.4,258,90.5,W00009222,W00009222,252,95.5,12,4.5,W00009222,W00009222,154,54.0,9,3.2,163,57.2
W00009223,W00009223,275,84.4,51,15.6,W00009223,W00009223,278,81.5,52,15.2,330,96.7,W00009223,W00009223,289,88.7,37,11.3,W00009223,W00009223,201,59.1,14,4.1,215,63.2
W00009224,W00009224,262,88.2,35,11.8,W00009224,W00009224,235,77.8,40,13.2,275,91.0,W00009224,W00009224,265,89.8,30,10.2,W00009224,W00009224,176,58.5,22,7.3,198,65.8
W00009225,W00009225,236,78.1,66,21.9,W00009225,W00009225,267,85.3,37,11.8,304,97.1,W00009225,W00009225,242,80.7,58,19.3,W00009225,W00009225,168,53.8,23,7.4,191,61.2
W00009226,W00009226,284,88.5,37,11.5,W00009226,W00009226,289,86.8,43,12.9,332,99.7,W00009226,W00009226,283,88.2,38,11.8,W00009226,W00009226,202,60.8,44,13.3,246,74.1
