2021 output area,mnemonic,Cannot understand spoken Welsh,% Cannot understand spoken Welsh,Can understand spoken Welsh,% Can understand spoken Welsh
W00008950,W00008950,314,86.5,49,13.5
W00008951,W00008951,324,81,76,19
W00008952,W00008952,262,82.4,56,17.6
W00008953,W00008953,255,76.3,79,23.7
W00008954,W00008954,279,81.8,62,18.2
W00008955,W00008955,273,77.3,80,22.7
W00008956,W00008956,258,85.4,44,14.6
W00008957,W00008957,277,85.8,46,14.2
W00008958,W00008958,231,85.9,38,14.1
W00008959,W00008959,273,82.2,59,17.8
W00008960,W00008960,305,84.5,56,15.5
W00008961,W00008961,303,89.9,34,10.1
W00008962,W00008962,219,85.5,37,14.5
W00008963,W00008963,257,87.7,36,12.3
W00008964,W00008964,297,90.8,30,9.2
W00008965,W00008965,331,88.7,42,11.3
W00008966,W00008966,240,78.4,66,21.6
W00008967,W00008967,118,84.3,22,15.7
W00008969,W00008969,233,85,41,15
W00008970,W00008970,251,84.5,46,15.5
W00008971,W00008971,271,83.1,55,16.9
W00008972,W00008972,295,89.1,36,10.9
W00008974,W00008974,228,84.1,43,15.9
W00008975,W00008975,203,77.5,59,22.5
W00008976,W00008976,290,89,36,11
W00008977,W00008977,275,82.8,57,17.2
W00008978,W00008978,183,85.9,30,14.1
W00008979,W00008979,244,86.5,38,13.5
W00008980,W00008980,263,85.9,43,14.1
W00008981,W00008981,293,93.9,19,6.1
W00008982,W00008982,233,93.6,16,6.4
W00008983,W00008983,240,90.6,25,9.4
W00008984,W00008984,291,86.1,47,13.9
W00008985,W00008985,365,92.6,29,7.4
W00008986,W00008986,310,93.1,23,6.9
W00008987,W00008987,271,89.4,32,10.6
W00008988,W00008988,270,91.8,24,8.2
W00008989,W00008989,281,90.9,28,9.1
W00008990,W00008990,239,86.3,38,13.7
W00008991,W00008991,283,91,28,9
W00008992,W00008992,327,92.9,25,7.1
W00008993,W00008993,274,90.4,29,9.6
W00008994,W00008994,233,90.3,25,9.7
W00008995,W00008995,312,92,27,8
W00008996,W00008996,247,88.5,32,11.5
W00008997,W00008997,264,92,23,8
W00008998,W00008998,277,91.1,27,8.9
W00008999,W00008999,318,91.1,31,8.9
W00009000,W00009000,304,86.4,48,13.6
W00009001,W00009001,295,89.1,36,10.9
W00009002,W00009002,346,90.3,37,9.7
W00009003,W00009003,370,90.2,40,9.8
W00009004,W00009004,288,92.9,22,7.1
W00009005,W00009005,348,93.8,23,6.2
W00009006,W00009006,260,90.3,28,9.7
W00009007,W00009007,194,87.8,27,12.2
W00009008,W00009008,290,87.6,41,12.4
W00009009,W00009009,276,87.3,40,12.7
W00009010,W00009010,297,92.8,23,7.2
W00009011,W00009011,279,91.8,25,8.2
W00009012,W00009012,204,87.9,28,12.1
W00009013,W00009013,266,86.1,43,13.9
W00009014,W00009014,319,92.2,27,7.8
W00009015,W00009015,349,85.3,60,14.7
W00009016,W00009016,216,93.1,16,6.9
W00009017,W00009017,215,89.2,26,10.8
W00009018,W00009018,262,91.9,23,8.1
W00009019,W00009019,265,91.7,24,8.3
W00009020,W00009020,238,91.2,23,8.8
W00009021,W00009021,346,87.2,51,12.8
W00009022,W00009022,206,88.4,27,11.6
W00009023,W00009023,229,87.4,33,12.6
W00009024,W00009024,271,88.6,35,11.4
W00009025,W00009025,286,88.5,37,11.5
W00009026,W00009026,218,83.2,44,16.8
W00009027,W00009027,278,91.7,25,8.3
W00009028,W00009028,174,92.6,14,7.4
W00009029,W00009029,266,92,23,8
W00009030,W00009030,272,90.4,29,9.6
W00009031,W00009031,277,90.8,28,9.2
W00009032,W00009032,261,88.2,35,11.8
W00009033,W00009033,259,88.4,34,11.6
W00009034,W00009034,248,84.1,47,15.9
W00009035,W00009035,265,80.3,65,19.7
W00009036,W00009036,309,86.6,48,13.4
W00009037,W00009037,237,90.1,26,9.9
W00009038,W00009038,208,93.3,15,6.7
W00009039,W00009039,235,84.2,44,15.8
W00009040,W00009040,257,87.4,37,12.6
W00009041,W00009041,206,88.4,27,11.6
W00009042,W00009042,231,81.6,52,18.4
W00009043,W00009043,356,87.7,50,12.3
W00009044,W00009044,203,91,20,9
W00009045,W00009045,267,85.9,44,14.1
W00009046,W00009046,198,84.3,37,15.7
W00009047,W00009047,235,87.4,34,12.6
W00009048,W00009048,252,82.6,53,17.4
W00009049,W00009049,292,90.7,30,9.3
W00009050,W00009050,261,86.4,41,13.6
W00009051,W00009051,274,88.7,35,11.3
W00009052,W00009052,184,92.9,14,7.1
W00009053,W00009053,154,84.6,28,15.4
W00009054,W00009054,271,84.2,51,15.8
W00009055,W00009055,282,80.1,70,19.9
W00009056,W00009056,262,86.8,40,13.2
W00009057,W00009057,247,82.6,52,17.4
W00009058,W00009058,170,81,40,19
W00009059,W00009059,278,87.4,40,12.6
W00009060,W00009060,265,80.3,65,19.7
W00009061,W00009061,220,84.3,41,15.7
W00009062,W00009062,201,81.4,46,18.6
W00009063,W00009063,195,85.2,34,14.8
W00009064,W00009064,264,87.7,37,12.3
W00009065,W00009065,262,84.5,48,15.5
W00009066,W00009066,274,87.3,40,12.7
W00009067,W00009067,256,83.1,52,16.9
W00009068,W00009068,210,81.1,49,18.9
W00009069,W00009069,261,85.6,44,14.4
W00009070,W00009070,280,83.8,54,16.2
W00009071,W00009071,214,88.8,27,11.2
W00009072,W00009072,244,89.1,30,10.9
W00009073,W00009073,351,89.5,41,10.5
W00009074,W00009074,308,84.8,55,15.2
W00009075,W00009075,255,75,85,25
W00009077,W00009077,270,79.4,70,20.6
W00009080,W00009080,354,89.8,40,10.2
W00009081,W00009081,246,82.6,52,17.4
W00009082,W00009082,310,83.1,63,16.9
W00009084,W00009084,244,83.8,47,16.2
W00009085,W00009085,354,82.9,73,17.1
W00009086,W00009086,256,77.8,73,22.2
W00009087,W00009087,288,78,81,22
W00009088,W00009088,406,86,66,14
W00009089,W00009089,286,85.4,49,14.6
W00009090,W00009090,318,85.9,52,14.1
W00009091,W00009091,344,93.2,25,6.8
W00009092,W00009092,241,85.2,42,14.8
W00009093,W00009093,313,90.2,34,9.8
W00009094,W00009094,200,85.8,33,14.2
W00009095,W00009095,343,89.1,42,10.9
W00009096,W00009096,370,85.5,63,14.5
W00009097,W00009097,272,84.2,51,15.8
W00009098,W00009098,318,85.7,53,14.3
W00009099,W00009099,220,78.6,60,21.4
W00009100,W00009100,335,86.6,52,13.4
W00009101,W00009101,404,92,35,8
W00009102,W00009102,217,82.8,45,17.2
W00009104,W00009104,471,92.7,37,7.3
W00009105,W00009105,373,86.7,57,13.3
W00009106,W00009106,308,84.4,57,15.6
W00009107,W00009107,296,85.3,51,14.7
W00009108,W00009108,227,81.4,52,18.6
W00009109,W00009109,175,92.1,15,7.9
W00009110,W00009110,299,79.9,75,20.1
W00009111,W00009111,273,84.5,50,15.5
W00009112,W00009112,336,88,46,12
W00009113,W00009113,269,82.5,57,17.5
W00009114,W00009114,348,85.3,60,14.7
W00009115,W00009115,277,90.8,28,9.2
W00009116,W00009116,256,80.8,61,19.2
W00009117,W00009117,412,91.8,37,8.2
W00009118,W00009118,230,92.7,18,7.3
W00009119,W00009119,307,87,46,13
W00009120,W00009120,327,87.4,47,12.6
W00009121,W00009121,284,96.3,11,3.7
W00009123,W00009123,431,86.9,65,13.1
W00009125,W00009125,292,85.1,51,14.9
W00009126,W00009126,309,87.8,43,12.2
W00009127,W00009127,290,86.8,44,13.2
W00009128,W00009128,286,85.1,50,14.9
W00009129,W00009129,400,91.1,39,8.9
W00009130,W00009130,222,84.4,41,15.6
W00009131,W00009131,278,84.8,50,15.2
W00009132,W00009132,278,93,21,7
W00009133,W00009133,265,89.5,31,10.5
W00009134,W00009134,182,74,64,26
W00009135,W00009135,352,93.1,26,6.9
W00009136,W00009136,254,81.2,59,18.8
W00009137,W00009137,180,79.3,47,20.7
W00009138,W00009138,240,79.7,61,20.3
W00009139,W00009139,243,86.2,39,13.8
W00009140,W00009140,306,79.1,81,20.9
W00009141,W00009141,400,87.9,55,12.1
W00009142,W00009142,173,83.2,35,16.8
W00009143,W00009143,225,79.2,59,20.8
W00009144,W00009144,230,86.8,35,13.2
W00009145,W00009145,246,85.1,43,14.9
W00009146,W00009146,235,74.1,82,25.9
W00009147,W00009147,243,87.1,36,12.9
W00009148,W00009148,105,91.3,10,8.7
W00009149,W00009149,295,81.9,65,18.1
W00009150,W00009150,291,85.6,49,14.4
W00009151,W00009151,268,84.5,49,15.5
W00009152,W00009152,281,83.1,57,16.9
W00009153,W00009153,264,88.9,33,11.1
W00009154,W00009154,329,82.7,69,17.3
W00009155,W00009155,157,86.3,25,13.7
W00009156,W00009156,215,84.6,39,15.4
W00009157,W00009157,399,83.6,78,16.4
W00009159,W00009159,381,89.2,46,10.8
W00009160,W00009160,273,83,56,17
W00009161,W00009161,332,84.5,61,15.5
W00009162,W00009162,209,78.6,57,21.4
W00009163,W00009163,225,71.7,89,28.3
W00009164,W00009164,243,75.9,77,24.1
W00009165,W00009165,217,82.2,47,17.8
W00009166,W00009166,245,81.4,56,18.6
W00009168,W00009168,201,85.9,33,14.1
W00009169,W00009169,259,76,82,24
W00009170,W00009170,237,79,63,21
W00009171,W00009171,456,89.8,52,10.2
W00009172,W00009172,248,82.7,52,17.3
W00009173,W00009173,202,82.4,43,17.6
W00009174,W00009174,254,77.7,73,22.3
W00009175,W00009175,263,80.7,63,19.3
W00009176,W00009176,299,84.7,54,15.3
W00009177,W00009177,263,82.2,57,17.8
W00009178,W00009178,204,84,39,16
W00009179,W00009179,276,86.5,43,13.5
W00009180,W00009180,276,82.4,59,17.6
W00009181,W00009181,438,84.7,79,15.3
W00009182,W00009182,257,84.3,48,15.7
W00009183,W00009183,336,81.8,75,18.2
W00009184,W00009184,251,83.9,48,16.1
W00009186,W00009186,177,65.8,92,34.2
W00009187,W00009187,198,75.3,65,24.7
W00009188,W00009188,253,80.8,60,19.2
W00009189,W00009189,255,91.1,25,8.9
W00009190,W00009190,272,89.8,31,10.2
W00009191,W00009191,381,83.9,73,16.1
W00009192,W00009192,183,82.1,40,17.9
W00009193,W00009193,169,81.6,38,18.4
W00009194,W00009194,294,84,56,16
W00009195,W00009195,275,82.8,57,17.2
W00009196,W00009196,203,73.6,73,26.4
W00009197,W00009197,215,74.4,74,25.6
W00009198,W00009198,257,61.2,163,38.8
W00009199,W00009199,215,73.4,78,26.6
W00009200,W00009200,216,73.5,78,26.5
W00009201,W00009201,226,79.9,57,20.1
W00009202,W00009202,200,79.1,53,20.9
W00009203,W00009203,158,73.1,58,26.9
W00009204,W00009204,188,77.7,54,22.3
W00009205,W00009205,247,78.2,69,21.8
W00009206,W00009206,247,86.1,40,13.9
W00009207,W00009207,183,84.7,33,15.3
W00009208,W00009208,264,83.5,52,16.5
W00009209,W00009209,211,85.8,35,14.2
W00009210,W00009210,193,86.2,31,13.8
W00009211,W00009211,220,86.3,35,13.7
W00009212,W00009212,195,81.9,43,18.1
W00009213,W00009213,168,58.9,117,41.1
W00009214,W00009214,216,86.1,35,13.9
W00009215,W00009215,245,87.5,35,12.5
W00009216,W00009216,275,81.8,61,18.2
W00009217,W00009217,226,86.9,34,13.1
W00009218,W00009218,245,83.1,50,16.9
W00009219,W00009219,185,72.5,70,27.5
W00009220,W00009220,267,83.7,52,16.3
W00009221,W00009221,291,85.6,49,14.4
