2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh
W00009459,W00009459,214,87.7,30,12.3
W00009460,W00009460,330,88.2,44,11.8
W00009461,W00009461,239,85.1,42,14.9
W00009462,W00009462,303,85.8,50,14.2
W00009463,W00009463,284,84.3,53,15.7
W00009464,W00009464,239,87.2,35,12.8
W00009465,W00009465,373,87.1,55,12.9
W00009466,W00009466,289,87.3,42,12.7
W00009467,W00009467,268,84.8,48,15.2
W00009468,W00009468,423,88.3,56,11.7
W00009469,W00009469,200,87.7,28,12.3
W00009470,W00009470,210,85.4,36,14.6
W00009472,W00009472,207,87,31,13
W00009473,W00009473,254,87.3,37,12.7
W00009474,W00009474,260,78.3,72,21.7
W00009475,W00009475,235,89.4,28,10.6
W00009476,W00009476,569,91.5,53,8.5
W00009480,W00009480,192,91.9,17,8.1
W00009481,W00009481,343,91.7,31,8.3
W00009482,W00009482,291,93.3,21,6.7
W00009483,W00009483,172,91,17,9
W00009484,W00009484,236,97.1,7,2.9
W00009486,W00009486,297,86.1,48,13.9
W00009487,W00009487,237,87.5,34,12.5
W00009488,W00009488,295,90.8,30,9.2
W00009489,W00009489,244,90.4,26,9.6
W00009490,W00009490,415,90.8,42,9.2
W00009491,W00009491,418,89.7,48,10.3
W00009492,W00009492,180,90,20,10
W00009493,W00009493,270,89.4,32,10.6
W00009494,W00009494,396,89.4,47,10.6
W00009495,W00009495,251,86.3,40,13.7
W00009496,W00009496,277,91.4,26,8.6
W00009497,W00009497,359,89.5,42,10.5
W00009499,W00009499,232,90.6,24,9.4
W00009500,W00009500,257,89.5,30,10.5
W00009501,W00009501,322,88.2,43,11.8
W00009502,W00009502,308,85.6,52,14.4
W00009503,W00009503,468,84.3,87,15.7
W00009505,W00009505,183,80.3,45,19.7
W00009506,W00009506,256,89.2,31,10.8
W00009507,W00009507,273,87.5,39,12.5
W00009508,W00009508,280,88.9,35,11.1
W00009509,W00009509,247,82.1,54,17.9
W00009510,W00009510,279,89.7,32,10.3
W00009511,W00009511,283,81.3,65,18.7
W00009512,W00009512,305,82.7,64,17.3
W00009514,W00009514,251,84.5,46,15.5
W00009515,W00009515,244,82.2,53,17.8
W00009516,W00009516,375,81,88,19
W00009517,W00009517,220,80,55,20
W00009518,W00009518,234,85.7,39,14.3
W00009519,W00009519,201,89.7,23,10.3
W00009520,W00009520,254,87.9,35,12.1
W00009521,W00009521,264,89.2,32,10.8
W00009522,W00009522,238,87.5,34,12.5
W00009524,W00009524,232,87.9,32,12.1
W00009525,W00009525,255,84.2,48,15.8
W00009526,W00009526,303,82.3,65,17.7
W00009527,W00009527,279,87.2,41,12.8
W00009528,W00009528,227,90.8,23,9.2
W00009529,W00009529,289,87.3,42,12.7
W00009530,W00009530,224,88.2,30,11.8
W00009531,W00009531,222,84.4,41,15.6
W00009532,W00009532,279,91.5,26,8.5
W00009533,W00009533,215,86.7,33,13.3
W00009534,W00009534,172,89.6,20,10.4
W00009535,W00009535,228,90.1,25,9.9
W00009536,W00009536,225,87.2,33,12.8
W00009537,W00009537,198,83.5,39,16.5
W00009538,W00009538,190,92.7,15,7.3
W00009539,W00009539,231,74.3,80,25.7
W00009540,W00009540,228,81.1,53,18.9
W00009541,W00009541,220,82.1,48,17.9
W00009542,W00009542,183,74.7,62,25.3
W00009543,W00009543,242,76.8,73,23.2
W00009544,W00009544,228,81.1,53,18.9
W00009545,W00009545,255,86.4,40,13.6
W00009546,W00009546,209,87.8,29,12.2
W00009547,W00009547,235,88,32,12
W00009548,W00009548,233,85.7,39,14.3
W00009549,W00009549,263,83.8,51,16.2
W00009550,W00009550,223,88.5,29,11.5
W00009551,W00009551,237,90.8,24,9.2
W00009552,W00009552,207,88.5,27,11.5
W00009553,W00009553,253,90,28,10
W00009554,W00009554,205,87.2,30,12.8
W00009555,W00009555,212,83.5,42,16.5
W00009556,W00009556,261,83.4,52,16.6
W00009557,W00009557,366,89.3,44,10.7
W00009558,W00009558,234,76.7,71,23.3
W00009559,W00009559,330,88.5,43,11.5
W00009560,W00009560,380,90.3,41,9.7
W00009561,W00009561,295,88.1,40,11.9
W00009562,W00009562,286,94.4,17,5.6
W00009563,W00009563,253,90.7,26,9.3
W00009564,W00009564,284,84,54,16
W00009565,W00009565,330,85.3,57,14.7
W00009566,W00009566,359,88,49,12
W00009567,W00009567,235,88.7,30,11.3
W00009568,W00009568,335,88.6,43,11.4
W00009569,W00009569,258,87.5,37,12.5
W00009570,W00009570,385,91.4,36,8.6
W00009571,W00009571,299,87.2,44,12.8
W00009572,W00009572,291,86.6,45,13.4
W00009573,W00009573,328,93.7,22,6.3
W00009574,W00009574,303,83,62,17
W00009575,W00009575,140,95.9,6,4.1
W00009576,W00009576,232,85.9,38,14.1
W00009577,W00009577,187,75.4,61,24.6
W00009578,W00009578,206,74.6,70,25.4
W00009579,W00009579,159,82.4,34,17.6
W00009580,W00009580,233,80.6,56,19.4
W00009581,W00009581,221,78.9,59,21.1
W00009582,W00009582,221,78.6,60,21.4
W00009583,W00009583,219,70,94,30
W00009584,W00009584,205,72.7,77,27.3
W00009585,W00009585,181,76.4,56,23.6
W00009586,W00009586,257,80.1,64,19.9
W00009587,W00009587,190,76.9,57,23.1
W00009588,W00009588,262,85.9,43,14.1
W00009589,W00009589,208,78.8,56,21.2
W00009590,W00009590,182,71.9,71,28.1
W00009591,W00009591,247,82.6,52,17.4
W00009592,W00009592,215,77.1,64,22.9
W00009593,W00009593,186,75.9,59,24.1
W00009594,W00009594,218,77,65,23
W00009595,W00009595,254,72.4,97,27.6
W00009596,W00009596,191,71.3,77,28.7
W00009597,W00009597,297,85.8,49,14.2
W00009598,W00009598,397,91.7,36,8.3
W00009599,W00009599,275,85.4,47,14.6
W00009600,W00009600,290,93.9,19,6.1
W00009601,W00009601,287,92,25,8
W00009602,W00009602,267,87.5,38,12.5
W00009603,W00009603,279,88.9,35,11.1
W00009604,W00009604,232,92.4,19,7.6
W00009605,W00009605,276,89.9,31,10.1
W00009606,W00009606,243,92,21,8
W00009607,W00009607,263,88.6,34,11.4
W00009608,W00009608,292,92.7,23,7.3
W00009609,W00009609,284,93.7,19,6.3
W00009610,W00009610,312,84.6,57,15.4
W00009611,W00009611,278,90.8,28,9.2
W00009612,W00009612,264,88,36,12
W00009613,W00009613,273,91.3,26,8.7
W00009614,W00009614,252,89.7,29,10.3
W00009615,W00009615,324,91.8,29,8.2
W00009616,W00009616,329,92.9,25,7.1
W00009617,W00009617,174,93.5,12,6.5
W00009618,W00009618,287,90.3,31,9.7
W00009619,W00009619,313,91.5,29,8.5
W00009620,W00009620,273,92.5,22,7.5
W00009621,W00009621,255,89.5,30,10.5
W00009622,W00009622,248,92.2,21,7.8
W00009623,W00009623,252,90.3,27,9.7
W00009624,W00009624,434,92.7,34,7.3
W00009625,W00009625,255,94.1,16,5.9
W00009626,W00009626,273,95.8,12,4.2
W00009627,W00009627,243,90.3,26,9.7
W00009629,W00009629,313,87.4,45,12.6
W00009630,W00009630,296,86.5,46,13.5
W00009631,W00009631,274,90.4,29,9.6
W00009632,W00009632,266,87.5,38,12.5
W00009633,W00009633,283,90.1,31,9.9
W00009634,W00009634,244,84.4,45,15.6
W00009635,W00009635,270,90.3,29,9.7
W00009636,W00009636,273,85.3,47,14.7
W00009637,W00009637,243,89,30,11
W00009638,W00009638,229,90.5,24,9.5
W00009639,W00009639,366,88.4,48,11.6
W00009640,W00009640,282,88.4,37,11.6
W00009641,W00009641,215,87.4,31,12.6
W00009642,W00009642,256,91.1,25,8.9
W00009643,W00009643,206,76.6,63,23.4
W00009644,W00009644,192,89.3,23,10.7
W00009645,W00009645,375,91.7,34,8.3
W00009646,W00009646,296,94.9,16,5.1
W00009647,W00009647,314,88,43,12
W00009648,W00009648,255,93.4,18,6.6
W00009649,W00009649,340,93.7,23,6.3
W00009650,W00009650,208,89.7,24,10.3
W00009651,W00009651,350,92.1,30,7.9
W00009652,W00009652,317,90.8,32,9.2
W00009653,W00009653,390,91.1,38,8.9
W00009654,W00009654,254,91.4,24,8.6
W00009655,W00009655,265,91.4,25,8.6
W00009657,W00009657,185,93,14,7
W00009658,W00009658,247,88.8,31,11.2
W00009659,W00009659,276,83.1,56,16.9
W00009660,W00009660,281,87.5,40,12.5
W00009661,W00009661,271,91.6,25,8.4
W00009662,W00009662,275,91.4,26,8.6
W00009663,W00009663,286,93.2,21,6.8
W00009664,W00009664,256,89.5,30,10.5
W00009665,W00009665,274,90.7,28,9.3
W00009666,W00009666,136,97.1,4,2.9
W00009667,W00009667,183,84.7,33,15.3
W00009668,W00009668,230,86.8,35,13.2
W00009669,W00009669,412,90.9,41,9.1
W00009670,W00009670,360,92.8,28,7.2
W00009671,W00009671,255,91.1,25,8.9
W00009672,W00009672,278,88.5,36,11.5
W00009673,W00009673,294,91.6,27,8.4
W00009675,W00009675,282,90.1,31,9.9
W00009676,W00009676,356,98.1,7,1.9
W00009677,W00009677,241,92,21,8
W00009678,W00009678,210,90.5,22,9.5
W00009679,W00009679,316,90.3,34,9.7
W00009680,W00009680,338,91.4,32,8.6
W00009681,W00009681,288,97,9,3
W00009682,W00009682,333,94.6,19,5.4
W00009683,W00009683,273,90.4,29,9.6
W00009684,W00009684,257,91.5,24,8.5
W00009686,W00009686,281,91.8,25,8.2
W00009687,W00009687,309,92,27,8
W00009688,W00009688,262,89.7,30,10.3
W00009689,W00009689,200,88.5,26,11.5
W00009690,W00009690,397,91.5,37,8.5
W00009691,W00009691,507,92.9,39,7.1
W00009692,W00009692,307,88,42,12
W00009693,W00009693,320,92.8,25,7.2
W00009694,W00009694,209,90.9,21,9.1
W00009695,W00009695,314,94,20,6
W00009696,W00009696,269,93.4,19,6.6
W00009697,W00009697,259,89.3,31,10.7
W00009698,W00009698,231,89.9,26,10.1
W00009699,W00009699,209,87.8,29,12.2
W00009700,W00009700,258,91.8,23,8.2
W00009701,W00009701,198,95.2,10,4.8
W00009702,W00009702,341,92.4,28,7.6
W00009703,W00009703,211,91.7,19,8.3
W00009704,W00009704,300,93.5,21,6.5
W00009705,W00009705,227,88,31,12
W00009706,W00009706,285,92.8,22,7.2
W00009707,W00009707,266,92,23,8
W00009708,W00009708,291,91.2,28,8.8
W00009710,W00009710,340,90.7,35,9.3
W00009711,W00009711,292,87.4,42,12.6
W00009712,W00009712,262,92.9,20,7.1
W00009713,W00009713,340,92.9,26,7.1
W00009714,W00009714,280,90.3,30,9.7
W00009715,W00009715,351,95.1,18,4.9
W00009716,W00009716,264,85.2,46,14.8
W00009717,W00009717,224,83,46,17
W00009718,W00009718,308,87.3,45,12.7
W00009719,W00009719,281,91.2,27,8.8
W00009720,W00009720,249,86.2,40,13.8
W00009721,W00009721,225,90.4,24,9.6
W00009722,W00009722,201,73.4,73,26.6
W00009723,W00009723,185,66.8,92,33.2
W00009724,W00009724,224,67.9,106,32.1
W00009725,W00009725,219,70.2,93,29.8
W00009726,W00009726,222,67.7,106,32.3
W00009727,W00009727,235,82.2,51,17.8
W00009728,W00009728,270,89.4,32,10.6
W00009729,W00009729,241,87.3,35,12.7
W00009730,W00009730,204,86.8,31,13.2
W00009731,W00009731,212,85.5,36,14.5
W00009732,W00009732,179,86.9,27,13.1
W00009733,W00009733,224,78.6,61,21.4
W00009734,W00009734,190,84.4,35,15.6
W00009735,W00009735,471,90.2,51,9.8
W00009736,W00009736,255,86.4,40,13.6
W00009737,W00009737,240,87.6,34,12.4
W00009738,W00009738,239,89.8,27,10.2
W00009739,W00009739,270,82.1,59,17.9
W00009740,W00009740,378,83.8,73,16.2
W00009741,W00009741,255,76.3,79,23.7
W00009742,W00009742,221,85,39,15
W00009743,W00009743,258,85.1,45,14.9
W00009744,W00009744,209,90.5,22,9.5
W00009745,W00009745,208,80,52,20
W00009746,W00009746,236,79.2,62,20.8
W00009747,W00009747,199,78.3,55,21.7
W00009748,W00009748,176,84.2,33,15.8
W00009749,W00009749,248,70.3,105,29.7
W00009750,W00009750,242,88,33,12
W00009751,W00009751,346,82,76,18
W00009752,W00009752,110,87.3,16,12.7
W00009753,W00009753,159,80.3,39,19.7
W00009754,W00009754,166,92.7,13,7.3
W00009755,W00009755,198,78.3,55,21.7
W00009756,W00009756,172,87.8,24,12.2
W00009757,W00009757,245,76.8,74,23.2
W00009758,W00009758,216,70.8,89,29.2
W00009759,W00009759,199,77.7,57,22.3
W00009760,W00009760,284,89.6,33,10.4
W00009761,W00009761,245,81.1,57,18.9
W00009762,W00009762,253,71.1,103,28.9
W00009763,W00009763,244,85.6,41,14.4
W00009764,W00009764,224,88.5,29,11.5
W00009765,W00009765,199,74,70,26
W00009766,W00009766,227,81.1,53,18.9
W00009767,W00009767,217,68,102,32
W00009768,W00009768,237,86.2,38,13.8
W00009769,W00009769,181,91,18,9
W00009982,W00009982,1431,91.6,132,8.4
W00009983,W00009983,552,92.2,47,7.8
W00009985,W00009985,325,92.1,28,7.9
W00010115,W00010115,761,84.9,135,15.1
W00010116,W00010116,203,95.3,10,4.7
W00010118,W00010118,307,91.9,27,8.1
W00010119,W00010119,597,90.6,62,9.4
W00010120,W00010120,256,89.8,29,10.2
W00010121,W00010121,161,89.4,19,10.6
W00010122,W00010122,216,91.9,19,8.1
W00010123,W00010123,317,87.8,44,12.2
W00010124,W00010124,253,94.1,16,5.9
W00010125,W00010125,341,87.7,48,12.3
W00010127,W00010127,206,82.4,44,17.6
W00010128,W00010128,623,92.8,48,7.2
W00010129,W00010129,140,83.8,27,16.2
W00010130,W00010130,400,92,35,8
W00010131,W00010131,333,96,14,4
W00010132,W00010132,193,93.2,14,6.8
W00010133,W00010133,275,89,34,11
W00010134,W00010134,239,88.2,32,11.8
W00010135,W00010135,325,88.1,44,11.9
W00010136,W00010136,238,86.5,37,13.5
W00010137,W00010137,303,92.4,25,7.6
W00010138,W00010138,313,89.9,35,10.1
W00010139,W00010139,259,87.8,36,12.2
W00010140,W00010140,349,77.6,101,22.4
W00010141,W00010141,149,86.6,23,13.4
W00010142,W00010142,268,85.6,45,14.4
W00010143,W00010143,245,89.7,28,10.3
W00010146,W00010146,278,88.5,36,11.5
W00010147,W00010147,204,88.3,27,11.7
W00010148,W00010148,141,88.1,19,11.9
W00010149,W00010149,303,90.4,32,9.6
W00010151,W00010151,283,86.8,43,13.2
W00010152,W00010152,320,81.4,73,18.6
W00010153,W00010153,211,90.6,22,9.4
W00010154,W00010154,249,89.2,30,10.8
W00010155,W00010155,200,87.3,29,12.7
W00010156,W00010156,166,90.7,17,9.3
W00010157,W00010157,260,83.6,51,16.4
W00010158,W00010158,288,86.7,44,13.3
W00010159,W00010159,414,87.3,60,12.7
W00010160,W00010160,160,86,26,14
W00010161,W00010161,252,87.5,36,12.5
W00010162,W00010162,234,89.3,28,10.7
W00010163,W00010163,291,81.3,67,18.7
W00010164,W00010164,180,84.5,33,15.5
W00010165,W00010165,335,92,29,8
W00010166,W00010166,258,88.4,34,11.6
W00010167,W00010167,162,90.5,17,9.5
W00010168,W00010168,216,90.4,23,9.6
W00010169,W00010169,387,89,48,11
W00010170,W00010170,178,93.2,13,6.8
W00010171,W00010171,254,90.4,27,9.6
W00010172,W00010172,294,86.7,45,13.3
W00010173,W00010173,220,87.3,32,12.7
W00010174,W00010174,215,86.7,33,13.3
W00010175,W00010175,171,87.7,24,12.3
W00010176,W00010176,312,87.6,44,12.4
W00010179,W00010179,387,90.4,41,9.6
W00010180,W00010180,290,84.1,55,15.9
W00010181,W00010181,202,90.2,22,9.8
W00010182,W00010182,267,80.7,64,19.3
W00010183,W00010183,309,84.9,55,15.1
W00010184,W00010184,246,88.5,32,11.5
W00010185,W00010185,251,87.5,36,12.5
W00010186,W00010186,159,87.8,22,12.2
W00010187,W00010187,320,81.6,72,18.4
W00010188,W00010188,114,81.4,26,18.6
W00010189,W00010189,230,88.8,29,11.2
W00010190,W00010190,264,90.1,29,9.9
W00010191,W00010191,163,88.1,22,11.9
W00010192,W00010192,408,84.3,76,15.7
W00010193,W00010193,281,90.4,30,9.6
W00010194,W00010194,317,87.3,46,12.7
W00010195,W00010195,127,81.9,28,18.1
W00010196,W00010196,155,91.7,14,8.3
W00010197,W00010197,174,91.6,16,8.4
W00010198,W00010198,251,94.7,14,5.3
W00010199,W00010199,220,86.6,34,13.4
W00010200,W00010200,229,92.7,18,7.3
W00010201,W00010201,206,88.4,27,11.6
W00010202,W00010202,191,90.1,21,9.9
W00010203,W00010203,169,92.3,14,7.7
W00010204,W00010204,198,88.8,25,11.2
W00010205,W00010205,636,93.4,45,6.6
W00010206,W00010206,221,92.9,17,7.1
W00010207,W00010207,379,93.1,28,6.9
W00010208,W00010208,174,90.6,18,9.4
W00010210,W00010210,116,84.7,21,15.3
W00010211,W00010211,133,88.7,17,11.3
W00010212,W00010212,106,96.4,4,3.6
W00010213,W00010213,122,91,12,9
W00010214,W00010214,231,85.9,38,14.1
W00010215,W00010215,192,87.7,27,12.3
W00010216,W00010216,207,90.8,21,9.2
W00010217,W00010217,217,87.9,30,12.1
W00010218,W00010218,178,84,34,16
W00010219,W00010219,276,86.2,44,13.8
W00010221,W00010221,242,85.2,42,14.8
W00010222,W00010222,255,79.7,65,20.3
W00010223,W00010223,834,91.3,79,8.7
W00010224,W00010224,174,86.1,28,13.9
W00010225,W00010225,209,85,37,15
W00010227,W00010227,208,77.9,59,22.1
W00010228,W00010228,265,76.6,81,23.4
W00010229,W00010229,160,84.7,29,15.3
W00010230,W00010230,122,89.7,14,10.3
W00010231,W00010231,188,72.6,71,27.4
W00010232,W00010232,72,73.5,26,26.5
W00010363,W00010363,139,81.8,31,18.2
W00010497,W00010497,1549,90.5,163,9.5
W00010498,W00010498,1322,89,163,11
W00010500,W00010500,221,88.8,28,11.2
W00010502,W00010502,198,88.4,26,11.6
W00010510,W00010510,102,86.4,16,13.6
W00010517,W00010517,255,91.4,24,8.6
W00010519,W00010519,548,90,61,10
W00010522,W00010522,269,85.1,47,14.9
W00010523,W00010523,174,96.7,6,3.3
W00010526,W00010526,235,89.4,28,10.6
W00010528,W00010528,330,87.3,48,12.7
W00010529,W00010529,120,87,18,13
W00010534,W00010534,307,95,16,5
W00010535,W00010535,300,87,45,13
W00010536,W00010536,315,89.5,37,10.5
W00010537,W00010537,201,93.9,13,6.1
W00010538,W00010538,267,84.8,48,15.2
W00010541,W00010541,744,93.8,49,6.2
W00010542,W00010542,168,96.6,6,3.4
W00010546,W00010546,175,85.4,30,14.6
W00010549,W00010549,240,90.9,24,9.1
W00010552,W00010552,221,88.8,28,11.2
W00010556,W00010556,152,74.5,52,25.5
W00010558,W00010558,258,89.3,31,10.7
W00010559,W00010559,475,93,36,7
W00010560,W00010560,240,87.9,33,12.1
W00010562,W00010562,280,84.1,53,15.9
W00010568,W00010568,349,87,52,13
W00010569,W00010569,451,89.8,51,10.2
W00010572,W00010572,107,78.7,29,21.3
W00010573,W00010573,340,92.6,27,7.4
W00010574,W00010574,210,87.9,29,12.1
W00010579,W00010579,218,86.5,34,13.5
W00010580,W00010580,532,86.4,84,13.6
W00010581,W00010581,148,92.5,12,7.5
W00010584,W00010584,307,92.5,25,7.5
W00010585,W00010585,219,83,45,17
W00010586,W00010586,232,89.6,27,10.4
W00010587,W00010587,354,78.5,97,21.5
W00010589,W00010589,100,99,1,1
W00010594,W00010594,273,92.5,22,7.5
W00010595,W00010595,252,87.5,36,12.5
W00010596,W00010596,237,83.7,46,16.3
W00010597,W00010597,203,94.4,12,5.6
W00010600,W00010600,212,78.8,57,21.2
W00010601,W00010601,134,92.4,11,7.6
W00010602,W00010602,236,83.4,47,16.6
W00010603,W00010603,520,84,99,16
W00010612,W00010612,161,74.5,55,25.5
W00010613,W00010613,270,88.5,35,11.5
W00010615,W00010615,248,87.3,36,12.7
W00010623,W00010623,255,92.7,20,7.3
W00010626,W00010626,264,92,23,8
W00010629,W00010629,222,86.7,34,13.3
W00010630,W00010630,466,90.8,47,9.2
W00010631,W00010631,228,84.8,41,15.2
W00010633,W00010633,453,94.4,27,5.6
W00010635,W00010635,178,92.7,14,7.3
W00010636,W00010636,189,73.8,67,26.2
W00010638,W00010638,170,85.9,28,14.1
W00010639,W00010639,311,92.3,26,7.7
W00010640,W00010640,321,90.4,34,9.6
W00010641,W00010641,448,82.2,97,17.8
W00010643,W00010643,292,91,29,9
W00010644,W00010644,237,85.9,39,14.1
W00010645,W00010645,263,93.3,19,6.7
W00010646,W00010646,305,85.2,53,14.8
W00010648,W00010648,321,89.2,39,10.8
W00010649,W00010649,103,88,14,12
