2021 output area,mnemonic,Cannot read Welsh,% cannot read Welsh,Can read Welsh,% Can read Welsh
W00008951,W00008951,330,82.7,69,17.3
W00008952,W00008952,281,88.9,35,11.1
W00008953,W00008953,276,82.6,58,17.4
W00008954,W00008954,288,84.5,53,15.5
W00008955,W00008955,289,81.6,65,18.4
W00008956,W00008956,274,90.7,28,9.3
W00008957,W00008957,285,88.2,38,11.8
W00008958,W00008958,231,85.2,40,14.8
W00008959,W00008959,278,83.7,54,16.3
W00008960,W00008960,309,85.6,52,14.4
W00008961,W00008961,302,90.4,32,9.6
W00008962,W00008962,215,83.7,42,16.3
W00008963,W00008963,265,90.1,29,9.9
W00008964,W00008964,296,91.6,27,8.4
W00008965,W00008965,333,88.8,42,11.2
W00008966,W00008966,253,82.7,53,17.3
W00008967,W00008967,129,92.1,11,7.9
W00008969,W00008969,240,87.6,34,12.4
W00008970,W00008970,258,86.9,39,13.1
W00008971,W00008971,280,85.6,47,14.4
W00008972,W00008972,297,89.7,34,10.3
W00008974,W00008974,239,87.9,33,12.1
W00008975,W00008975,212,80.9,50,19.1
W00008976,W00008976,294,90.5,31,9.5
W00008977,W00008977,277,83.4,55,16.6
W00008978,W00008978,193,90.6,20,9.4
W00008979,W00008979,248,87.9,34,12.1
W00008980,W00008980,262,86.2,42,13.8
W00008981,W00008981,296,96.1,12,3.9
W00008982,W00008982,239,96,10,4
W00008983,W00008983,239,89.8,27,10.2
W00008984,W00008984,299,88.5,39,11.5
W00008985,W00008985,372,94.2,23,5.8
W00008986,W00008986,316,95.2,16,4.8
W00008987,W00008987,279,91.5,26,8.5
W00008988,W00008988,275,92.6,22,7.4
W00008989,W00008989,280,90.6,29,9.4
W00008990,W00008990,253,91.3,24,8.7
W00008991,W00008991,285,91.6,26,8.4
W00008992,W00008992,328,93.2,24,6.8
W00008993,W00008993,282,92.8,22,7.2
W00008994,W00008994,238,92.6,19,7.4
W00008995,W00008995,312,92,27,8
W00008996,W00008996,244,87.8,34,12.2
W00008997,W00008997,265,93.3,19,6.7
W00008998,W00008998,279,92.1,24,7.9
W00008999,W00008999,323,92,28,8
W00009000,W00009000,309,88,42,12
W00009001,W00009001,301,90.9,30,9.1
W00009002,W00009002,361,94.5,21,5.5
W00009003,W00009003,370,90.2,40,9.8
W00009004,W00009004,296,95.5,14,4.5
W00009005,W00009005,349,94.1,22,5.9
W00009006,W00009006,265,92,23,8
W00009007,W00009007,197,89.5,23,10.5
W00009008,W00009008,295,89.1,36,10.9
W00009009,W00009009,282,89.2,34,10.8
W00009010,W00009010,297,92.8,23,7.2
W00009011,W00009011,281,92.4,23,7.6
W00009012,W00009012,202,87.1,30,12.9
W00009013,W00009013,278,90.6,29,9.4
W00009014,W00009014,314,91,31,9
W00009015,W00009015,367,89.5,43,10.5
W00009016,W00009016,213,91.8,19,8.2
W00009017,W00009017,222,91.7,20,8.3
W00009018,W00009018,275,96.5,10,3.5
W00009019,W00009019,271,93.4,19,6.6
W00009020,W00009020,238,91.2,23,8.8
W00009021,W00009021,344,86.6,53,13.4
W00009022,W00009022,212,90.2,23,9.8
W00009023,W00009023,237,90.5,25,9.5
W00009024,W00009024,282,92.2,24,7.8
W00009025,W00009025,295,91,29,9
W00009026,W00009026,224,85.8,37,14.2
W00009027,W00009027,281,92.7,22,7.3
W00009028,W00009028,184,96.8,6,3.2
W00009029,W00009029,274,95.5,13,4.5
W00009030,W00009030,279,92.7,22,7.3
W00009031,W00009031,284,93.7,19,6.3
W00009032,W00009032,274,92.6,22,7.4
W00009033,W00009033,264,90.1,29,9.9
W00009034,W00009034,259,87.8,36,12.2
W00009035,W00009035,270,81.8,60,18.2
W00009036,W00009036,323,90.7,33,9.3
W00009037,W00009037,246,93.5,17,6.5
W00009038,W00009038,208,93.3,15,6.7
W00009039,W00009039,240,86,39,14
W00009040,W00009040,267,90.2,29,9.8
W00009041,W00009041,212,91,21,9
W00009042,W00009042,241,85.8,40,14.2
W00009043,W00009043,361,88.9,45,11.1
W00009044,W00009044,207,92,18,8
W00009045,W00009045,267,86.1,43,13.9
W00009046,W00009046,208,89.3,25,10.7
W00009047,W00009047,240,88.9,30,11.1
W00009048,W00009048,264,86.6,41,13.4
W00009049,W00009049,299,93.1,22,6.9
W00009050,W00009050,271,90.6,28,9.4
W00009051,W00009051,281,90.9,28,9.1
W00009052,W00009052,189,94.5,11,5.5
W00009053,W00009053,158,87.3,23,12.7
W00009054,W00009054,280,87,42,13
W00009055,W00009055,304,86.1,49,13.9
W00009056,W00009056,272,90.1,30,9.9
W00009057,W00009057,259,86,42,14
W00009058,W00009058,180,85.7,30,14.3
W00009059,W00009059,291,91.2,28,8.8
W00009060,W00009060,287,87.2,42,12.8
W00009061,W00009061,228,87.4,33,12.6
W00009062,W00009062,213,85.9,35,14.1
W00009063,W00009063,201,87.8,28,12.2
W00009064,W00009064,274,90.7,28,9.3
W00009065,W00009065,272,88.3,36,11.7
W00009066,W00009066,280,89.2,34,10.8
W00009067,W00009067,260,85,46,15
W00009068,W00009068,222,86,36,14
W00009069,W00009069,265,86.9,40,13.1
W00009070,W00009070,291,86.9,44,13.1
W00009071,W00009071,215,89.2,26,10.8
W00009072,W00009072,252,91.6,23,8.4
W00009073,W00009073,342,87.2,50,12.8
W00009074,W00009074,308,84.8,55,15.2
W00009075,W00009075,272,80,68,20
W00009077,W00009077,279,82.1,61,17.9
W00009080,W00009080,349,88.8,44,11.2
W00009081,W00009081,250,84.2,47,15.8
W00009082,W00009082,314,84.2,59,15.8
W00009084,W00009084,248,85.2,43,14.8
W00009085,W00009085,362,85,64,15
W00009086,W00009086,258,78.4,71,21.6
W00009087,W00009087,299,81,70,19
W00009088,W00009088,408,86.3,65,13.7
W00009089,W00009089,289,87,43,13
W00009090,W00009090,319,86.2,51,13.8
W00009091,W00009091,347,94,22,6
W00009092,W00009092,250,88.3,33,11.7
W00009093,W00009093,312,89.9,35,10.1
W00009094,W00009094,210,90.5,22,9.5
W00009095,W00009095,349,90.4,37,9.6
W00009096,W00009096,371,85.9,61,14.1
W00009097,W00009097,275,84.6,50,15.4
W00009098,W00009098,324,87.3,47,12.7
W00009099,W00009099,220,78.3,61,21.7
W00009100,W00009100,344,88.9,43,11.1
W00009101,W00009101,389,88.6,50,11.4
W00009102,W00009102,231,88.5,30,11.5
W00009104,W00009104,467,91.9,41,8.1
W00009105,W00009105,374,87,56,13
W00009106,W00009106,323,88.7,41,11.3
W00009107,W00009107,294,84.7,53,15.3
W00009108,W00009108,227,81.4,52,18.6
W00009109,W00009109,175,92.1,15,7.9
W00009110,W00009110,300,80.2,74,19.8
W00009111,W00009111,269,83.3,54,16.7
W00009112,W00009112,343,89.1,42,10.9
W00009113,W00009113,267,81.9,59,18.1
W00009114,W00009114,356,87,53,13
W00009115,W00009115,278,91.1,27,8.9
W00009116,W00009116,247,77.9,70,22.1
