2021 output area,mnemonic,Europe: United Kingdom,% Europe: United Kingdom,No passport held,% No passport held,combined uk,% combined uk
W00009297,W00009297,235,72.8,75,23.2,310,96
W00009298,W00009298,232,83.8,41,14.8,273,98.6
W00009299,W00009299,231,59.5,124,32,355,91.5
W00009300,W00009300,231,79.4,60,20.6,291,100
W00009301,W00009301,254,76.7,56,16.9,310,93.6
W00009302,W00009302,266,82.6,46,14.3,312,96.9
W00009303,W00009303,211,74.6,51,18,262,92.6
W00009304,W00009304,280,88.1,31,9.7,311,97.8
W00009305,W00009305,213,80.4,30,11.3,243,91.7
W00009306,W00009306,214,80.1,47,17.6,261,97.7
W00009307,W00009307,268,83.5,36,11.2,304,94.7
W00009308,W00009308,184,73.9,52,20.9,236,94.8
W00009309,W00009309,249,78.5,60,18.9,309,97.4
W00009310,W00009310,245,75.4,67,20.6,312,96
W00009311,W00009311,235,82.2,37,12.9,272,95.1
W00009312,W00009312,306,85.7,41,11.5,347,97.2
W00009313,W00009313,159,80.7,28,14.2,187,94.9
W00009314,W00009314,222,77.1,47,16.3,269,93.4
W00009315,W00009315,238,80.7,37,12.5,275,93.2
W00009316,W00009316,210,79.2,39,14.7,249,93.9
W00009317,W00009317,206,66.9,66,21.4,272,88.3
W00009318,W00009318,274,72.3,92,24.3,366,96.6
