2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00008913,W00008913,74,17.1,17,3.9,91,21
W00008915,W00008915,72,16.5,16,3.7,88,20.2
W00008916,W00008916,102,21.4,6,1.3,108,22.7
W00008918,W00008918,131,27,17,3.5,148,30.5
W00008919,W00008919,69,25.4,16,5.9,85,31.3
W00008920,W00008920,113,23.3,27,5.6,140,28.9
W00008921,W00008921,102,33.1,13,4.2,115,37.3
W00008922,W00008922,117,21.4,21,3.8,138,25.2
W00008923,W00008923,130,31.6,15,3.6,145,35.2
W00008924,W00008924,125,25.2,31,6.2,156,31.4
W00008925,W00008925,136,30.8,16,3.6,152,34.4
W00008926,W00008926,125,34.7,17,4.7,142,39.4
W00008927,W00008927,103,24.5,26,6.2,129,30.7
W00008929,W00008929,90,23.4,25,6.5,115,29.9
W00008931,W00008931,111,24.8,19,4.3,130,29.1
W00008932,W00008932,138,25,9,1.6,147,26.6
W00008933,W00008933,102,25.1,12,3,114,28.1
W00008934,W00008934,175,58.9,41,13.8,216,72.7
W00008935,W00008935,204,61.8,27,8.2,231,70
W00008936,W00008936,212,62.7,48,14.2,260,76.9
W00008937,W00008937,171,55.7,36,11.7,207,67.4
W00008938,W00008938,171,55.7,35,11.4,206,67.1
W00008939,W00008939,164,60.1,28,10.3,192,70.4
W00008940,W00008940,175,61.8,29,10.2,204,72
W00008941,W00008941,123,48.4,33,13,156,61.4
W00008942,W00008942,153,61.7,19,7.7,172,69.4
W00008943,W00008943,227,56.5,35,8.7,262,65.2
W00008945,W00008945,173,61.1,16,5.7,189,66.8
W00008947,W00008947,89,32,43,15.5,132,47.5
W00008948,W00008948,154,44.9,39,11.4,193,56.3
W00008949,W00008949,142,43.2,42,12.8,184,56
W00008950,W00008950,150,39.4,37,9.7,187,49.1
W00008951,W00008951,223,54.4,27,6.6,250,61
W00008952,W00008952,140,42.9,24,7.4,164,50.3
W00008953,W00008953,156,45,58,16.7,214,61.7
W00008954,W00008954,144,41.6,40,11.6,184,53.2
W00008955,W00008955,179,50.3,26,7.3,205,57.6
W00008956,W00008956,118,38.7,35,11.5,153,50.2
W00008957,W00008957,162,47.4,41,12,203,59.4
W00008958,W00008958,130,48.1,22,8.1,152,56.2
W00008959,W00008959,153,44.3,35,10.1,188,54.4
W00008960,W00008960,174,46.3,42,11.2,216,57.5
W00008961,W00008961,110,32.3,47,13.8,157,46.1
W00008962,W00008962,96,36.8,36,13.8,132,50.6
W00008963,W00008963,104,34.7,47,15.7,151,50.4
W00008964,W00008964,116,35,28,8.5,144,43.5
W00008965,W00008965,120,31.5,30,7.9,150,39.4
W00008966,W00008966,122,39.5,38,12.3,160,51.8
W00008967,W00008967,65,46.4,8,5.7,73,52.1
W00008969,W00008969,104,36.2,17,5.9,121,42.1
W00008970,W00008970,138,45.4,29,9.5,167,54.9
W00008971,W00008971,140,41.9,25,7.5,165,49.4
W00008972,W00008972,120,35.1,30,8.8,150,43.9
W00008974,W00008974,90,32,30,10.7,120,42.7
W00008975,W00008975,124,45.9,36,13.3,160,59.2
W00008976,W00008976,110,33.2,35,10.6,145,43.8
W00008977,W00008977,137,39.6,51,14.7,188,54.3
W00008978,W00008978,103,46.8,26,11.8,129,58.6
W00008979,W00008979,122,41.9,36,12.4,158,54.3
W00008980,W00008980,143,46,37,11.9,180,57.9
W00008981,W00008981,174,53.7,32,9.9,206,63.6
W00008982,W00008982,174,66.2,16,6.1,190,72.3
W00008983,W00008983,194,71.6,22,8.1,216,79.7
W00008984,W00008984,235,68.1,33,9.6,268,77.7
W00008985,W00008985,218,53.8,30,7.4,248,61.2
W00008986,W00008986,182,51.1,30,8.4,212,59.5
W00008987,W00008987,207,64.9,41,12.9,248,77.8
W00008988,W00008988,157,52.2,19,6.3,176,58.5
W00008989,W00008989,237,75,26,8.2,263,83.2
W00008990,W00008990,207,71.1,33,11.3,240,82.4
W00008991,W00008991,207,66.1,36,11.5,243,77.6
W00008992,W00008992,179,50.1,51,14.3,230,64.4
W00008993,W00008993,157,50.2,33,10.5,190,60.7
W00008994,W00008994,147,52.7,33,11.8,180,64.5
W00008995,W00008995,165,46.6,56,15.8,221,62.4
W00008996,W00008996,169,57.7,39,13.3,208,71
W00008997,W00008997,144,46.8,40,13,184,59.8
W00008998,W00008998,189,60.2,24,7.6,213,67.8
W00008999,W00008999,224,60.9,35,9.5,259,70.4
W00009000,W00009000,175,48.3,40,11,215,59.3
W00009001,W00009001,190,55.2,32,9.3,222,64.5
W00009002,W00009002,228,57.1,34,8.5,262,65.6
