2021 output area,mnemonic,Welsh only identity,% Welsh only identity,Welsh and British only identity,% Welsh and British only identity,Combined Welsh and British,% Combined Welsh and British
W00009318,W00009318,214,55.9,37,9.7,251,65.6
W00009319,W00009319,193,60.7,24,7.5,217,68.2
W00009320,W00009320,196,59.4,37,11.2,233,70.6
W00009321,W00009321,163,53.8,43,14.2,206,68
W00009322,W00009322,234,59.8,33,8.4,267,68.2
W00009323,W00009323,193,55.3,33,9.5,226,64.8
W00009324,W00009324,168,54,21,6.8,189,60.8
W00009325,W00009325,198,51.7,19,5,217,56.7
W00009326,W00009326,174,55.4,29,9.2,203,64.6
W00009327,W00009327,158,54.9,20,6.9,178,61.8
W00009328,W00009328,209,63,38,11.4,247,74.4
W00009329,W00009329,243,71.7,33,9.7,276,81.4
W00009330,W00009330,225,48.5,28,6,253,54.5
W00009331,W00009331,232,62.7,40,10.8,272,73.5
W00009332,W00009332,196,59,13,3.9,209,62.9
W00009333,W00009333,182,52,21,6,203,58
W00009334,W00009334,155,54,24,8.4,179,62.4
W00009335,W00009335,163,46.2,37,10.5,200,56.7
W00009336,W00009336,146,50,15,5.1,161,55.1
W00009337,W00009337,238,46.9,35,6.9,273,53.8
W00009338,W00009338,182,54.2,33,9.8,215,64
W00009339,W00009339,170,43.8,8,2.1,178,45.9
W00009340,W00009340,176,42.2,31,7.4,207,49.6
W00009341,W00009341,180,54.9,19,5.8,199,60.7
W00009342,W00009342,227,53.8,30,7.1,257,60.9
W00009343,W00009343,127,43.8,33,11.4,160,55.2
W00009344,W00009344,212,54.5,26,6.7,238,61.2
W00009345,W00009345,194,49.1,40,10.1,234,59.2
W00009346,W00009346,231,67,21,6.1,252,73.1
W00009347,W00009347,135,52.7,24,9.4,159,62.1
W00009348,W00009348,195,62.7,39,12.5,234,75.2
W00009349,W00009349,176,63.3,22,7.9,198,71.2
W00009350,W00009350,122,51.5,21,8.9,143,60.4
W00009351,W00009351,177,51.2,22,6.4,199,57.6
W00009352,W00009352,149,43.6,26,7.6,175,51.2
W00009353,W00009353,178,51.4,57,16.5,235,67.9
W00009354,W00009354,192,49.4,32,8.2,224,57.6
W00009355,W00009355,155,59.2,37,14.1,192,73.3
W00009356,W00009356,219,55.7,42,10.7,261,66.4
W00009357,W00009357,175,55.4,37,11.7,212,67.1
W00009358,W00009358,249,54.8,41,9,290,63.8
W00009359,W00009359,129,49,25,9.5,154,58.5
W00009360,W00009360,200,61.3,32,9.8,232,71.1
W00009361,W00009361,215,51.2,38,9,253,60.2
W00009362,W00009362,161,52.8,25,8.2,186,61
W00009363,W00009363,106,54.1,15,7.7,121,61.8
W00009364,W00009364,182,56.2,34,10.5,216,66.7
W00009365,W00009365,145,56.9,25,9.8,170,66.7
W00009366,W00009366,260,71.6,33,9.1,293,80.7
W00009367,W00009367,174,56.9,20,6.5,194,63.4
W00009368,W00009368,150,48.5,18,5.8,168,54.3
W00009369,W00009369,260,64,33,8.1,293,72.1
W00009371,W00009371,192,55.8,55,16,247,71.8
W00009372,W00009372,199,57.3,40,11.5,239,68.8
W00009373,W00009373,206,66,20,6.4,226,72.4
W00009374,W00009374,217,68.9,31,9.8,248,78.7
W00009375,W00009375,253,61,48,11.6,301,72.6
W00009376,W00009376,237,59.7,36,9.1,273,68.8
W00009377,W00009377,147,52.1,34,12.1,181,64.2
W00009378,W00009378,192,52.9,43,11.8,235,64.7
W00009379,W00009379,154,59.7,22,8.5,176,68.2
W00009380,W00009380,129,51.2,19,7.5,148,58.7
W00009381,W00009381,203,67.2,17,5.6,220,72.8
W00009382,W00009382,157,55.5,31,11,188,66.5
W00009383,W00009383,161,56.7,22,7.7,183,64.4
W00009384,W00009384,192,54.7,33,9.4,225,64.1
W00009385,W00009385,201,52.9,29,7.6,230,60.5
W00009386,W00009386,173,41.3,35,8.4,208,49.7
W00009387,W00009387,138,46,17,5.7,155,51.7
W00009389,W00009389,150,40.4,41,11.1,191,51.5
W00009390,W00009390,164,46.7,35,10,199,56.7
W00009391,W00009391,205,45.9,34,7.6,239,53.5
W00009392,W00009392,127,40.2,29,9.2,156,49.4
W00009393,W00009393,115,46.4,19,7.7,134,54.1
W00009394,W00009394,153,44.7,26,7.6,179,52.3
W00009395,W00009395,124,43.1,31,10.8,155,53.9
W00009396,W00009396,119,36.8,31,9.6,150,46.4
W00009397,W00009397,176,48.8,32,8.9,208,57.7
W00009398,W00009398,108,39.3,14,5.1,122,44.4
W00009399,W00009399,118,37.7,22,7,140,44.7
W00009400,W00009400,139,38.4,22,6.1,161,44.5
W00009401,W00009401,150,47,24,7.5,174,54.5
W00009402,W00009402,135,43.5,35,11.3,170,54.8
W00009403,W00009403,134,39.5,28,8.3,162,47.8
W00009404,W00009404,112,41.3,26,9.6,138,50.9
W00009405,W00009405,77,30,16,6.2,93,36.2
W00009407,W00009407,175,53.4,31,9.5,206,62.9
W00009408,W00009408,92,35.8,16,6.2,108,42
W00009409,W00009409,147,47.6,23,7.4,170,55
W00009410,W00009410,132,36.6,47,13,179,49.6
W00009411,W00009411,193,48.5,51,12.8,244,61.3
W00009412,W00009412,150,47.2,41,12.9,191,60.1
W00009413,W00009413,121,42.2,36,12.5,157,54.7
W00009414,W00009414,149,54.6,32,11.7,181,66.3
W00009415,W00009415,172,49.6,38,11,210,60.6
W00009416,W00009416,154,43.5,28,7.9,182,51.4
W00009417,W00009417,141,49.6,26,9.2,167,58.8
W00009418,W00009418,98,35.9,35,12.8,133,48.7
W00009419,W00009419,148,51.7,28,9.8,176,61.5
W00009420,W00009420,145,42.5,49,14.4,194,56.9
W00009421,W00009421,135,47.5,17,6,152,53.5
W00009422,W00009422,173,52.9,30,9.2,203,62.1
W00009423,W00009423,114,30.2,20,5.3,134,35.5
W00009424,W00009424,93,24.5,14,3.7,107,28.2
W00009425,W00009425,131,38.1,14,4.1,145,42.2
W00009426,W00009426,106,35.7,18,6.1,124,41.8
W00009427,W00009427,138,45.4,31,10.2,169,55.6
W00009428,W00009428,118,30.3,18,4.6,136,34.9
W00009429,W00009429,81,28.9,17,6.1,98,35
W00009430,W00009430,89,36.3,17,6.9,106,43.2
W00009431,W00009431,91,36,10,4,101,40
W00009432,W00009432,73,27.7,24,9.1,97,36.8
W00009433,W00009433,170,38.2,26,5.8,196,44
W00009434,W00009434,82,20.3,15,3.7,97,24
W00009435,W00009435,70,36.6,13,6.8,83,43.4
W00009436,W00009436,116,35.9,15,4.6,131,40.5
W00009437,W00009437,100,28,11,3.1,111,31.1
W00009438,W00009438,83,34.9,20,8.4,103,43.3
W00009439,W00009439,102,34.7,14,4.8,116,39.5
W00009440,W00009440,112,37.6,17,5.7,129,43.3
W00009441,W00009441,104,24.2,22,5.1,126,29.3
W00009442,W00009442,82,39.2,14,6.7,96,45.9
W00009443,W00009443,94,29.4,10,3.1,104,32.5
W00009444,W00009444,105,34.1,19,6.2,124,40.3
W00009445,W00009445,113,43.5,9,3.5,122,47
W00009446,W00009446,82,21.5,14,3.7,96,25.2
W00009447,W00009447,75,31.2,29,12.1,104,43.3
W00009448,W00009448,115,37.6,9,2.9,124,40.5
W00009450,W00009450,119,30.8,22,5.7,141,36.5
W00009451,W00009451,117,30.8,31,8.2,148,39
W00009452,W00009452,110,31.7,36,10.4,146,42.1
W00009453,W00009453,142,40.1,19,5.4,161,45.5
W00009454,W00009454,93,22.4,13,3.1,106,25.5
W00009455,W00009455,79,42.5,11,5.9,90,48.4
W00009456,W00009456,101,26.7,36,9.5,137,36.2
W00009457,W00009457,106,31.6,20,6,126,37.6
W00009458,W00009458,117,37.7,22,7.1,139,44.8
W00009459,W00009459,75,30,18,7.2,93,37.2
W00009460,W00009460,134,35.4,32,8.4,166,43.8
W00009461,W00009461,84,29.3,13,4.5,97,33.8
W00009462,W00009462,98,27.4,34,9.5,132,36.9
W00009463,W00009463,94,27.2,20,5.8,114,33
W00009464,W00009464,98,34.9,23,8.2,121,43.1
W00009465,W00009465,112,26,33,7.7,145,33.7
W00009466,W00009466,98,29.3,31,9.3,129,38.6
W00009467,W00009467,127,39.6,24,7.5,151,47.1
W00009468,W00009468,170,34.8,17,3.5,187,38.3
W00009469,W00009469,82,34.3,14,5.9,96,40.2
W00009470,W00009470,90,35.6,34,13.4,124,49
W00009472,W00009472,61,25.2,11,4.5,72,29.7
W00009473,W00009473,114,37.9,27,9,141,46.9
W00009474,W00009474,141,41.5,43,12.6,184,54.1
W00009475,W00009475,61,23,4,1.5,65,24.5
W00009476,W00009476,109,17.4,37,5.9,146,23.3
W00009480,W00009480,137,64.6,21,9.9,158,74.5
W00009481,W00009481,205,53.8,50,13.1,255,66.9
W00009482,W00009482,140,44,51,16,191,60
W00009483,W00009483,112,58,13,6.7,125,64.7
W00009484,W00009484,150,58.6,12,4.7,162,63.3
W00009486,W00009486,166,46.5,50,14,216,60.5
W00009487,W00009487,136,48.7,39,14,175,62.7
W00009488,W00009488,173,51.2,46,13.6,219,64.8
W00009489,W00009489,133,46.7,26,9.1,159,55.8
W00009490,W00009490,235,50.2,50,10.7,285,60.9
W00009491,W00009491,248,50.1,40,8.1,288,58.2
W00009492,W00009492,128,64,4,2,132,66
W00009493,W00009493,148,46.5,30,9.4,178,55.9
W00009494,W00009494,253,55.6,35,7.7,288,63.3
W00009495,W00009495,139,46.6,29,9.7,168,56.3
W00009496,W00009496,168,52.3,29,9,197,61.3
W00009497,W00009497,192,46.8,45,11,237,57.8
W00009499,W00009499,153,58.4,26,9.9,179,68.3
W00009500,W00009500,139,46.6,40,13.4,179,60
W00009501,W00009501,166,43.3,40,10.4,206,53.7
W00009502,W00009502,178,46.7,30,7.9,208,54.6
W00009503,W00009503,272,48.3,54,9.6,326,57.9
W00009505,W00009505,94,41,25,10.9,119,51.9
W00009506,W00009506,147,49.5,26,8.8,173,58.3
W00009507,W00009507,148,46.7,33,10.4,181,57.1
W00009508,W00009508,160,50.2,37,11.6,197,61.8
W00009509,W00009509,178,58.2,36,11.8,214,70
W00009510,W00009510,143,44.5,29,9,172,53.5
W00009511,W00009511,151,43.1,35,10,186,53.1
W00009512,W00009512,175,46.7,36,9.6,211,56.3
W00009514,W00009514,163,54.2,29,9.6,192,63.8
W00009515,W00009515,171,55.9,20,6.5,191,62.4
W00009516,W00009516,237,50.2,46,9.7,283,59.9
W00009517,W00009517,174,61.5,40,14.1,214,75.6
W00009518,W00009518,145,50.3,23,8,168,58.3
W00009519,W00009519,122,53.3,29,12.7,151,66
W00009520,W00009520,170,56.5,46,15.3,216,71.8
W00009521,W00009521,178,57.8,31,10.1,209,67.9
W00009522,W00009522,156,56.3,48,17.3,204,73.6
W00009524,W00009524,138,51.7,33,12.4,171,64.1
W00009525,W00009525,171,55.7,35,11.4,206,67.1
W00009526,W00009526,210,55.7,44,11.7,254,67.4
W00009527,W00009527,169,51.2,38,11.5,207,62.7
W00009528,W00009528,140,54.7,44,17.2,184,71.9
W00009529,W00009529,189,56.1,38,11.3,227,67.4
W00009530,W00009530,139,54.5,36,14.1,175,68.6
W00009531,W00009531,172,63.9,25,9.3,197,73.2
W00009532,W00009532,151,48.2,60,19.2,211,67.4
W00009533,W00009533,154,61.4,29,11.6,183,73
W00009534,W00009534,118,60.5,23,11.8,141,72.3
W00009535,W00009535,121,46.9,44,17.1,165,64
W00009536,W00009536,144,54.8,32,12.2,176,67
W00009537,W00009537,131,56,23,9.8,154,65.8
W00009538,W00009538,108,51.9,23,11.1,131,63
W00009539,W00009539,204,63.7,35,10.9,239,74.6
W00009540,W00009540,145,51.2,40,14.1,185,65.3
W00009541,W00009541,137,50,32,11.7,169,61.7
W00009542,W00009542,130,51.6,33,13.1,163,64.7
W00009543,W00009543,168,51.5,41,12.6,209,64.1
W00009544,W00009544,164,56.6,41,14.1,205,70.7
W00009545,W00009545,168,56.4,25,8.4,193,64.8
W00009546,W00009546,128,52.9,18,7.4,146,60.3
W00009547,W00009547,154,56.8,49,18.1,203,74.9
W00009548,W00009548,144,52.6,35,12.8,179,65.4
W00009549,W00009549,177,53.2,33,9.9,210,63.1
W00009550,W00009550,119,46.1,24,9.3,143,55.4
W00009551,W00009551,162,60,31,11.5,193,71.5
W00009552,W00009552,115,48.5,46,19.4,161,67.9
W00009553,W00009553,192,68.1,22,7.8,214,75.9
W00009554,W00009554,138,57.5,20,8.3,158,65.8
W00009555,W00009555,137,52.1,46,17.5,183,69.6
W00009556,W00009556,186,57.9,29,9,215,66.9
W00009557,W00009557,79,19.2,29,7,108,26.2
W00009558,W00009558,145,46.6,25,8,170,54.6
W00009559,W00009559,111,28.2,22,5.6,133,33.8
W00009560,W00009560,136,31.6,15,3.5,151,35.1
W00009561,W00009561,116,33.8,14,4.1,130,37.9
W00009562,W00009562,128,40.1,40,12.5,168,52.6
W00009563,W00009563,84,29.4,25,8.7,109,38.1
W00009564,W00009564,146,41.4,12,3.4,158,44.8
W00009565,W00009565,85,21.5,20,5.1,105,26.6
W00009566,W00009566,95,22.6,45,10.7,140,33.3
W00009567,W00009567,87,31.2,18,6.5,105,37.7
W00009568,W00009568,103,26.4,24,6.2,127,32.6
W00009569,W00009569,90,29.3,17,5.5,107,34.8
W00009570,W00009570,82,18.6,26,5.9,108,24.5
W00009571,W00009571,88,24.6,33,9.2,121,33.8
W00009572,W00009572,90,25.9,26,7.5,116,33.4
W00009573,W00009573,90,24.5,35,9.5,125,34
W00009574,W00009574,63,16.9,34,9.1,97,26
W00009575,W00009575,46,30.5,10,6.6,56,37.1
W00009576,W00009576,152,54.5,33,11.8,185,66.3
W00009577,W00009577,118,46.6,20,7.9,138,54.5
W00009578,W00009578,131,45,27,9.3,158,54.3
W00009579,W00009579,90,44.6,19,9.4,109,54
W00009580,W00009580,118,40.8,16,5.5,134,46.3
W00009581,W00009581,136,46.9,27,9.3,163,56.2
W00009582,W00009582,124,43.8,23,8.1,147,51.9
W00009583,W00009583,162,49.5,31,9.5,193,59
W00009584,W00009584,136,46.9,18,6.2,154,53.1
W00009585,W00009585,109,44.9,15,6.2,124,51.1
W00009586,W00009586,162,48.8,22,6.6,184,55.4
W00009587,W00009587,117,47,12,4.8,129,51.8
W00009588,W00009588,119,37.2,33,10.3,152,47.5
W00009589,W00009589,113,41.9,34,12.6,147,54.5
W00009590,W00009590,99,38.7,17,6.6,116,45.3
W00009591,W00009591,147,48.2,23,7.5,170,55.7
W00009592,W00009592,102,35.8,20,7,122,42.8
W00009593,W00009593,108,42.2,24,9.4,132,51.6
W00009594,W00009594,146,49.7,12,4.1,158,53.8
W00009595,W00009595,162,44.8,23,6.4,185,51.2
W00009596,W00009596,99,35.9,30,10.9,129,46.8
W00009597,W00009597,142,39.4,20,5.6,162,45
W00009598,W00009598,164,36.4,31,6.9,195,43.3
W00009599,W00009599,104,31.5,20,6.1,124,37.6
W00009600,W00009600,205,63.1,19,5.8,224,68.9
W00009601,W00009601,183,56.8,28,8.7,211,65.5
W00009602,W00009602,187,60.5,25,8.1,212,68.6
W00009603,W00009603,166,51.2,37,11.4,203,62.6
W00009604,W00009604,170,66.9,21,8.3,191,75.2
W00009605,W00009605,180,57.1,33,10.5,213,67.6
W00009606,W00009606,168,61.8,25,9.2,193,71
W00009607,W00009607,202,64.5,24,7.7,226,72.2
W00009608,W00009608,221,68.2,23,7.1,244,75.3
W00009609,W00009609,199,63.6,31,9.9,230,73.5
W00009610,W00009610,247,64.3,29,7.6,276,71.9
W00009611,W00009611,202,63.5,39,12.3,241,75.8
W00009612,W00009612,208,67.3,33,10.7,241,78
W00009613,W00009613,177,58.6,35,11.6,212,70.2
W00009614,W00009614,188,64.6,31,10.7,219,75.3
W00009615,W00009615,215,59.4,35,9.7,250,69.1
W00009616,W00009616,199,54.5,24,6.6,223,61.1
W00009617,W00009617,98,51.6,18,9.5,116,61.1
W00009618,W00009618,201,60.2,19,5.7,220,65.9
W00009619,W00009619,174,49.3,19,5.4,193,54.7
W00009620,W00009620,186,61.8,25,8.3,211,70.1
W00009621,W00009621,172,58.3,10,3.4,182,61.7
W00009622,W00009622,140,51.1,26,9.5,166,60.6
W00009623,W00009623,180,62.7,46,16,226,78.7
W00009624,W00009624,243,49.2,50,10.1,293,59.3
W00009625,W00009625,154,55,26,9.3,180,64.3
W00009626,W00009626,171,59,29,10,200,69
W00009627,W00009627,186,66.4,26,9.3,212,75.7
W00009629,W00009629,186,50.4,36,9.8,222,60.2
W00009630,W00009630,154,43,17,4.7,171,47.7
W00009631,W00009631,170,53.3,20,6.3,190,59.6
W00009632,W00009632,169,54.2,23,7.4,192,61.6
W00009633,W00009633,164,49.1,31,9.3,195,58.4
W00009634,W00009634,156,52,27,9,183,61
W00009635,W00009635,152,50.3,31,10.3,183,60.6
W00009636,W00009636,156,47.3,21,6.4,177,53.7
W00009637,W00009637,123,45.1,19,7,142,52.1
W00009638,W00009638,159,60.7,29,11.1,188,71.8
W00009639,W00009639,188,44.3,22,5.2,210,49.5
W00009640,W00009640,126,38.7,25,7.7,151,46.4
W00009641,W00009641,105,41,18,7,123,48
W00009642,W00009642,135,47.2,25,8.7,160,55.9
W00009643,W00009643,129,46.7,28,10.1,157,56.8
W00009644,W00009644,88,39.6,10,4.5,98,44.1
W00009645,W00009645,155,34.8,32,7.2,187,42
W00009646,W00009646,137,42,31,9.5,168,51.5
W00009647,W00009647,126,32.9,48,12.5,174,45.4
W00009648,W00009648,163,57.4,34,12,197,69.4
W00009649,W00009649,182,48.7,28,7.5,210,56.2
W00009650,W00009650,115,48.3,22,9.2,137,57.5
W00009651,W00009651,188,48.2,34,8.7,222,56.9
W00009652,W00009652,182,49.7,45,12.3,227,62
W00009653,W00009653,241,53.1,42,9.3,283,62.4
W00009654,W00009654,152,52.2,45,15.5,197,67.7
W00009655,W00009655,144,48.5,29,9.8,173,58.3
W00009657,W00009657,109,53.7,13,6.4,122,60.1
W00009658,W00009658,181,63.1,21,7.3,202,70.4
W00009659,W00009659,219,64.8,16,4.7,235,69.5
W00009660,W00009660,151,45.5,14,4.2,165,49.7
W00009661,W00009661,174,58,19,6.3,193,64.3
W00009662,W00009662,117,37.6,33,10.6,150,48.2
W00009663,W00009663,135,42.1,30,9.3,165,51.4
W00009664,W00009664,151,51,16,5.4,167,56.4
W00009665,W00009665,160,51,33,10.5,193,61.5
W00009666,W00009666,82,57.7,8,5.6,90,63.3
W00009667,W00009667,131,57.7,22,9.7,153,67.4
W00009668,W00009668,142,52.4,28,10.3,170,62.7
W00009669,W00009669,226,47.9,47,10,273,57.9
W00009670,W00009670,248,62.2,28,7,276,69.2
W00009671,W00009671,133,46.2,35,12.2,168,58.4
W00009672,W00009672,213,64,16,4.8,229,68.8
W00009673,W00009673,173,52,28,8.4,201,60.4
W00009675,W00009675,199,62.4,29,9.1,228,71.5
W00009676,W00009676,292,75.3,10,2.6,302,77.9
W00009677,W00009677,172,62.8,15,5.5,187,68.3
W00009678,W00009678,122,51.7,22,9.3,144,61
W00009679,W00009679,193,53.5,46,12.7,239,66.2
W00009680,W00009680,197,49.7,25,6.3,222,56
W00009681,W00009681,165,52.4,27,8.6,192,61
W00009682,W00009682,212,58.4,34,9.4,246,67.8
W00009683,W00009683,164,53.2,45,14.6,209,67.8
W00009684,W00009684,148,49.2,15,5,163,54.2
W00009686,W00009686,173,55.3,22,7,195,62.3
W00009687,W00009687,188,54.2,15,4.3,203,58.5
W00009688,W00009688,162,54.2,41,13.7,203,67.9
W00009689,W00009689,132,55.7,28,11.8,160,67.5
W00009690,W00009690,208,46.4,51,11.4,259,57.8
W00009691,W00009691,290,50.5,56,9.8,346,60.3
W00009692,W00009692,220,61.1,33,9.2,253,70.3
W00009693,W00009693,203,57.3,36,10.2,239,67.5
W00009694,W00009694,175,72.9,16,6.7,191,79.6
W00009695,W00009695,160,45.7,33,9.4,193,55.1
W00009696,W00009696,179,59.3,19,6.3,198,65.6
W00009697,W00009697,149,48.9,30,9.8,179,58.7
W00009698,W00009698,155,58.3,21,7.9,176,66.2
W00009699,W00009699,131,54.1,32,13.2,163,67.3
W00009700,W00009700,163,55.4,25,8.5,188,63.9
W00009701,W00009701,107,49.1,34,15.6,141,64.7
W00009702,W00009702,199,52.2,27,7.1,226,59.3
W00009703,W00009703,153,64.6,26,11,179,75.6
W00009704,W00009704,186,56.2,25,7.6,211,63.8
W00009705,W00009705,152,56.5,44,16.4,196,72.9
W00009706,W00009706,145,44.5,44,13.5,189,58
W00009707,W00009707,176,57.3,29,9.4,205,66.7
W00009708,W00009708,158,47.2,28,8.4,186,55.6
W00009710,W00009710,241,62.8,41,10.7,282,73.5
W00009711,W00009711,163,47.5,45,13.1,208,60.6
W00009712,W00009712,178,61.6,27,9.3,205,70.9
W00009713,W00009713,236,61.6,44,11.5,280,73.1
W00009714,W00009714,209,64.5,15,4.6,224,69.1
W00009715,W00009715,235,60.6,33,8.5,268,69.1
W00009716,W00009716,160,50.8,38,12.1,198,62.9
W00009717,W00009717,165,58.7,25,8.9,190,67.6
W00009718,W00009718,192,52.3,46,12.5,238,64.8
W00009719,W00009719,197,60.2,25,7.6,222,67.8
W00009720,W00009720,178,60.8,13,4.4,191,65.2
W00009721,W00009721,167,64.7,20,7.8,187,72.5
W00009722,W00009722,148,53,31,11.1,179,64.1
W00009723,W00009723,167,58.2,32,11.1,199,69.3
W00009724,W00009724,198,58.6,45,13.3,243,71.9
W00009725,W00009725,191,59.7,38,11.9,229,71.6
W00009726,W00009726,173,51.8,27,8.1,200,59.9
W00009727,W00009727,173,58.2,49,16.5,222,74.7
W00009728,W00009728,190,60.3,44,14,234,74.3
W00009729,W00009729,155,53.6,32,11.1,187,64.7
W00009730,W00009730,143,61.1,27,11.5,170,72.6
W00009731,W00009731,135,51.9,31,11.9,166,63.8
W00009732,W00009732,108,49.8,23,10.6,131,60.4
W00009733,W00009733,181,62.6,25,8.7,206,71.3
W00009734,W00009734,137,58.8,30,12.9,167,71.7
W00009735,W00009735,215,40.1,41,7.6,256,47.7
W00009736,W00009736,152,50.5,27,9,179,59.5
W00009737,W00009737,144,51.4,33,11.8,177,63.2
W00009738,W00009738,162,58.3,38,13.7,200,72
W00009739,W00009739,180,54.2,50,15.1,230,69.3
W00009740,W00009740,247,53.6,50,10.8,297,64.4
W00009741,W00009741,189,56.4,42,12.5,231,68.9
W00009742,W00009742,164,60.1,21,7.7,185,67.8
W00009743,W00009743,196,64.1,19,6.2,215,70.3
W00009744,W00009744,125,52.7,22,9.3,147,62
W00009745,W00009745,158,57.5,29,10.5,187,68
W00009746,W00009746,174,56.3,31,10,205,66.3
W00009747,W00009747,130,48.9,32,12,162,60.9
W00009748,W00009748,99,46.5,25,11.7,124,58.2
W00009749,W00009749,221,61.4,31,8.6,252,70
W00009750,W00009750,144,52,39,14.1,183,66.1
W00009751,W00009751,244,56.5,37,8.6,281,65.1
W00009752,W00009752,72,56.2,11,8.6,83,64.8
W00009753,W00009753,117,58.5,30,15,147,73.5
W00009754,W00009754,100,55.6,17,9.4,117,65
W00009755,W00009755,130,50,32,12.3,162,62.3
W00009756,W00009756,131,65.2,19,9.5,150,74.7
W00009757,W00009757,171,52.1,41,12.5,212,64.6
W00009758,W00009758,177,56.4,44,14,221,70.4
W00009759,W00009759,149,57.3,20,7.7,169,65
W00009760,W00009760,193,59,42,12.8,235,71.8
W00009761,W00009761,186,59.2,37,11.8,223,71
W00009762,W00009762,197,54.4,34,9.4,231,63.8
W00009763,W00009763,129,43.6,37,12.5,166,56.1
W00009764,W00009764,135,51.7,25,9.6,160,61.3
W00009765,W00009765,156,56.7,32,11.6,188,68.3
W00009766,W00009766,176,61.1,32,11.1,208,72.2
W00009767,W00009767,167,51.2,42,12.9,209,64.1
W00009768,W00009768,198,70.2,22,7.8,220,78
W00009769,W00009769,132,65.3,28,13.9,160,79.2
W00009982,W00009982,469,29.9,59,3.8,528,33.7
W00009983,W00009983,142,23.3,38,6.2,180,29.5
W00009985,W00009985,140,37.9,6,1.6,146,39.5
W00010115,W00010115,162,18.1,20,2.2,182,20.3
W00010116,W00010116,28,12.6,4,1.8,32,14.4
W00010118,W00010118,39,11.4,13,3.8,52,15.2
W00010119,W00010119,145,22,20,3,165,25
W00010120,W00010120,102,34.9,19,6.5,121,41.4
W00010121,W00010121,35,19.1,9,4.9,44,24
W00010122,W00010122,82,34.5,16,6.7,98,41.2
W00010123,W00010123,136,37.2,23,6.3,159,43.5
W00010124,W00010124,94,33.7,24,8.6,118,42.3
W00010125,W00010125,72,18.4,15,3.8,87,22.2
W00010127,W00010127,102,40.5,12,4.8,114,45.3
W00010128,W00010128,123,18.3,25,3.7,148,22
W00010129,W00010129,49,28.8,15,8.8,64,37.6
W00010130,W00010130,54,12.4,15,3.4,69,15.8
W00010131,W00010131,25,6.9,9,2.5,34,9.4
W00010132,W00010132,41,19.6,6,2.9,47,22.5
W00010133,W00010133,95,29.9,25,7.9,120,37.8
W00010134,W00010134,111,39.4,22,7.8,133,47.2
W00010135,W00010135,132,34,30,7.7,162,41.7
W00010136,W00010136,157,55.3,26,9.2,183,64.5
W00010137,W00010137,65,19.1,19,5.6,84,24.7
W00010138,W00010138,102,28.5,23,6.4,125,34.9
W00010139,W00010139,99,32.5,18,5.9,117,38.4
W00010140,W00010140,228,49.5,47,10.2,275,59.7
W00010141,W00010141,59,34.1,20,11.6,79,45.7
W00010142,W00010142,118,36.9,34,10.6,152,47.5
W00010143,W00010143,80,28.5,26,9.3,106,37.8
W00010146,W00010146,135,41.5,17,5.2,152,46.7
W00010147,W00010147,82,34.6,23,9.7,105,44.3
W00010148,W00010148,64,38.6,19,11.4,83,50
W00010149,W00010149,100,27.5,26,7.1,126,34.6
W00010151,W00010151,155,46.7,38,11.4,193,58.1
W00010152,W00010152,209,51.4,42,10.3,251,61.7
W00010153,W00010153,47,20.2,18,7.7,65,27.9
W00010154,W00010154,72,25.1,10,3.5,82,28.6
W00010155,W00010155,129,56.1,20,8.7,149,64.8
W00010156,W00010156,84,44,15,7.9,99,51.9
W00010157,W00010157,153,47.8,24,7.5,177,55.3
W00010158,W00010158,113,32.8,12,3.5,125,36.3
W00010159,W00010159,209,42.1,42,8.5,251,50.6
W00010160,W00010160,56,29.3,9,4.7,65,34
W00010161,W00010161,108,36.7,26,8.8,134,45.5
W00010162,W00010162,145,53.3,23,8.5,168,61.8
W00010163,W00010163,220,59.8,40,10.9,260,70.7
W00010164,W00010164,80,37.6,9,4.2,89,41.8
W00010165,W00010165,144,36.1,43,10.8,187,46.9
W00010166,W00010166,171,56.4,37,12.2,208,68.6
W00010167,W00010167,51,27.3,4,2.1,55,29.4
W00010168,W00010168,83,33.5,24,9.7,107,43.2
W00010169,W00010169,254,57,27,6.1,281,63.1
W00010170,W00010170,85,43.1,31,15.7,116,58.8
W00010171,W00010171,104,35.9,27,9.3,131,45.2
W00010172,W00010172,129,36.9,58,16.6,187,53.5
W00010173,W00010173,104,40,22,8.5,126,48.5
W00010174,W00010174,92,36.2,23,9.1,115,45.3
W00010175,W00010175,111,53.9,10,4.9,121,58.8
W00010176,W00010176,161,43.4,30,8.1,191,51.5
W00010179,W00010179,211,46.5,47,10.4,258,56.9
W00010180,W00010180,143,40.6,31,8.8,174,49.4
W00010181,W00010181,62,25.6,18,7.4,80,33
W00010182,W00010182,184,53,39,11.2,223,64.2
W00010183,W00010183,181,48.3,63,16.8,244,65.1
W00010184,W00010184,119,40.9,6,2.1,125,43
W00010185,W00010185,150,49.8,21,7,171,56.8
W00010186,W00010186,51,27.7,19,10.3,70,38
W00010187,W00010187,131,33.2,18,4.6,149,37.8
W00010188,W00010188,48,33.6,21,14.7,69,48.3
W00010189,W00010189,132,47.7,28,10.1,160,57.8
W00010190,W00010190,131,42.4,35,11.3,166,53.7
W00010191,W00010191,52,27.7,7,3.7,59,31.4
W00010192,W00010192,261,52.1,34,6.8,295,58.9
